date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2001-10-01,0.1,64.4,77.2,52.9,0.0
2001-10-02,0.1,57.9,70.7,48.9,0.0
2001-10-03,0.1,59.9,76.3,45.9,0.0
2001-10-04,0.2,56.5,68.5,46.6,0.0
2001-10-05,0.2,52.9,69.8,41.7,0.0
2001-10-06,0.2,45.9,59.0,38.1,0.0
2001-10-07,0.3,45.9,54.1,36.9,0.0
2001-10-08,0.6,36.5,42.4,29.8,0.0
2001-10-09,0.6,36.7,49.3,27.9,0.0
2001-10-10,1.7,44.4,51.3,38.8,0.0
2001-10-11,2.2,34.5,40.8,29.8,0.0
2001-10-12,2.2,41.2,49.3,30.4,0.0
2001-10-13,2.2,45.3,55.8,39.9,0.0
2001-10-14,2.2,45.7,55.4,39.9,0.0
2001-10-15,2.2,53.8,69.8,40.1,0.0
2001-10-16,2.2,47.8,57.4,29.8,0.0
2001-10-17,2.2,35.8,49.8,25.2,0.0
2001-10-18,2.2,44.8,59.2,29.7,0.0
2001-10-19,2.2,49.1,60.8,40.3,0.0
2001-10-20,2.2,46.6,62.8,33.3,0.0
2001-10-21,2.2,40.1,46.8,36.3,0.0
2001-10-22,5.0,39.4,44.4,31.3,0.0
2001-10-23,5.5,29.1,31.3,25.0,0.3
2001-10-24,5.5,32.9,43.7,23.9,0.2
2001-10-25,5.5,44.6,56.7,34.7,0.0
2001-10-26,5.5,50.7,60.8,41.9,0.0
2001-10-27,5.7,39.6,49.5,31.3,0.0
2001-10-28,5.7,37.2,45.3,31.6,0.0
2001-10-29,5.8,42.6,46.6,37.4,0.0
2001-10-30,7.0,42.1,46.2,38.1,0.0
2001-10-31,7.4,38.5,40.3,37.4,0.0
2001-11-01,7.5,39.2,41.4,38.1,0.0
2001-11-02,7.6,43.7,54.9,38.5,0.0
2001-11-03,7.6,49.6,65.8,36.9,0.0
2001-11-04,7.6,47.7,58.6,38.7,0.0
2001-11-05,7.9,34.3,42.1,28.8,0.0
2001-11-06,7.9,28.8,34.5,23.5,0.0
2001-11-07,7.9,33.4,49.1,23.4,0.0
2001-11-08,7.9,45.9,58.8,34.3,0.0
2001-11-09,7.9,49.3,57.6,43.9,0.0
2001-11-10,7.9,50.2,56.8,44.4,0.0
2001-11-11,7.9,47.7,53.6,44.4,0.0
2001-11-12,7.9,43.9,50.0,38.5,0.0
2001-11-13,8.4,39.6,44.4,32.5,0.4
2001-11-14,8.4,46.4,50.0,43.9,0.4
