date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1999-10-01,0.0,38.7,57.6,24.3,0.0
1999-10-02,0.0,35.2,57.0,19.8,0.0
1999-10-03,0.0,37.9,61.9,21.0,0.0
1999-10-04,0.0,42.6,68.2,24.4,0.0
1999-10-05,0.0,44.6,64.4,27.1,0.0
1999-10-06,0.0,37.4,42.1,30.2,0.0
1999-10-07,0.0,37.0,54.0,25.2,0.0
1999-10-08,0.0,45.3,62.1,28.0,0.0
1999-10-09,0.0,43.9,51.6,28.2,0.0
1999-10-10,0.0,42.6,64.8,25.9,0.0
1999-10-11,0.0,45.5,66.0,32.5,0.0
1999-10-12,0.0,46.0,62.8,30.6,0.0
1999-10-13,0.0,43.7,66.6,27.5,0.0
1999-10-14,0.0,39.9,57.7,22.1,0.0
1999-10-15,0.0,25.5,39.9,13.8,0.0
1999-10-16,0.0,25.7,45.3,13.3,0.0
1999-10-17,0.0,32.7,57.9,17.6,0.0
1999-10-18,0.0,34.0,56.7,21.4,0.0
1999-10-19,0.0,34.0,60.4,18.0,0.0
1999-10-20,0.0,37.8,65.8,24.1,0.0
1999-10-21,0.0,38.7,67.3,24.6,0.0
1999-10-22,0.0,39.4,67.5,24.6,0.0
1999-10-23,0.0,41.4,66.9,28.0,0.0
1999-10-24,0.0,37.8,57.9,24.4,0.0
1999-10-25,0.1,38.5,62.1,25.2,0.0
1999-10-26,0.2,42.4,61.5,27.9,0.0
1999-10-27,0.9,39.4,51.3,29.5,0.0
1999-10-28,2.0,31.8,37.8,27.9,0.3
1999-10-29,2.0,28.0,40.5,20.8,0.3
1999-10-30,2.0,32.0,50.7,23.2,0.3
1999-10-31,2.0,30.0,41.4,17.8,0.3
1999-11-01,2.0,27.0,41.2,17.6,0.3
1999-11-02,2.0,32.0,53.4,20.8,0.3
1999-11-03,2.1,37.2,53.2,24.3,0.3
1999-11-04,2.5,37.0,44.1,32.7,0.2
1999-11-05,2.5,38.1,42.8,33.3,0.1
1999-11-06,2.5,39.9,61.9,29.5,0.0
1999-11-07,2.5,39.0,58.8,28.4,0.0
1999-11-08,2.5,36.0,45.7,25.3,0.0
1999-11-09,2.5,31.5,44.1,23.2,0.0
1999-11-10,2.6,33.3,43.7,27.0,0.0
1999-11-11,2.6,36.5,50.9,28.8,0.0
1999-11-12,2.6,39.0,59.7,27.5,0.0
1999-11-13,2.6,35.8,58.3,26.6,0.0
1999-11-14,2.6,36.3,59.5,26.8,0.0
1999-11-15,2.6,34.0,55.0,24.8,0.0
1999-11-16,2.6,34.2,51.3,24.4,0.0
1999-11-17,2.8,29.5,34.7,24.3,0.2
1999-11-18,2.8,23.7,39.4,14.5,0.2
1999-11-19,3.1,27.3,36.9,18.3,0.5
1999-11-20,3.7,24.6,30.9,9.9,1.1
1999-11-21,3.9,16.9,24.4,7.7,1.3
1999-11-22,3.9,13.5,28.8,0.9,1.3
1999-11-23,3.9,12.0,30.0,-1.7,1.3
1999-11-24,4.2,21.7,26.4,14.2,1.6
1999-11-25,5.6,30.4,33.1,25.9,2.9
1999-11-26,6.1,30.2,33.8,21.9,3.1
1999-11-27,6.1,25.3,37.2,17.6,3.1
1999-11-28,6.1,23.9,34.7,16.9,3.1
1999-11-29,6.2,28.2,37.8,21.0,3.2
1999-11-30,6.5,33.3,40.6,29.3,3.5
1999-12-01,6.5,24.8,33.1,17.4,3.5
1999-12-02,6.9,20.1,26.2,10.4,3.9
1999-12-03,6.9,11.5,28.8,2.3,3.9
1999-12-04,6.9,10.2,28.8,0.3,3.9
1999-12-05,7.0,17.6,32.0,4.1,4.0
1999-12-06,7.6,23.9,26.8,19.4,4.6
1999-12-07,7.6,15.6,26.2,3.6,4.6
1999-12-08,7.6,10.0,22.6,2.1,4.6
1999-12-09,8.2,18.3,24.4,10.6,5.2
1999-12-10,8.2,17.4,25.9,11.1,5.2
1999-12-11,8.4,20.1,23.9,16.0,5.4
1999-12-12,9.1,28.0,34.0,22.5,6.1
1999-12-13,9.4,16.7,27.5,5.0,6.4
1999-12-14,9.6,15.3,20.1,8.8,6.6
1999-12-15,10.1,22.3,26.4,16.5,7.1
1999-12-16,10.5,28.0,30.9,25.7,7.5
1999-12-17,10.7,25.0,31.6,14.9,7.7
1999-12-18,10.7,25.0,29.7,20.7,7.7
1999-12-19,10.7,19.2,30.2,8.2,7.7
1999-12-20,10.7,22.6,35.2,15.8,7.7
1999-12-21,10.7,19.9,34.2,10.6,7.7
1999-12-22,10.7,16.3,33.3,7.2,7.7
1999-12-23,10.7,18.3,32.9,10.4,7.7
1999-12-24,10.7,20.1,34.3,13.5,7.7
1999-12-25,10.7,23.2,39.4,15.6,7.7
1999-12-26,10.7,22.6,36.3,15.6,7.7
1999-12-27,10.7,22.3,36.7,16.2,7.7
1999-12-28,10.7,21.4,39.6,12.6,7.7
1999-12-29,10.7,17.2,40.6,8.6,7.7
1999-12-30,10.7,16.7,37.8,5.9,7.7
1999-12-31,10.7,21.7,33.1,13.1,7.7
2000-01-01,11.0,19.8,25.7,14.2,8.0
2000-01-02,11.1,14.0,19.8,6.1,8.1
2000-01-03,11.2,7.2,17.8,-4.4,8.2
2000-01-04,12.2,21.4,26.4,14.0,9.2
2000-01-05,12.2,14.7,27.5,0.7,9.2
2000-01-06,12.2,7.5,30.6,-4.5,9.2
2000-01-07,12.4,20.1,26.2,13.6,9.4
2000-01-08,12.7,21.2,26.4,16.7,9.7
2000-01-09,13.3,20.3,25.0,16.9,10.3
2000-01-10,14.7,20.3,27.9,16.0,11.7
2000-01-11,16.2,24.4,29.1,16.9,13.2
2000-01-12,16.3,12.6,17.6,6.6,13.3
2000-01-13,16.6,20.1,30.7,6.4,13.6
2000-01-14,16.7,29.7,35.2,26.8,13.7
2000-01-15,17.5,28.0,31.3,26.4,14.5
2000-01-16,17.8,27.3,32.9,15.6,14.8
2000-01-17,17.8,19.0,35.1,10.0,14.8
2000-01-18,18.0,23.2,29.5,15.4,15.0
2000-01-19,18.0,27.3,37.8,20.7,15.0
2000-01-20,18.4,29.5,36.1,21.6,15.4
2000-01-21,18.5,20.7,29.8,5.0,15.5
2000-01-22,18.6,15.8,27.0,3.7,15.6
2000-01-23,18.6,16.3,33.1,4.6,15.6
2000-01-24,18.8,24.8,32.2,20.5,15.8
2000-01-25,19.1,27.5,36.9,22.1,16.1
2000-01-26,19.1,17.4,28.4,2.1,16.1
2000-01-27,19.1,8.4,26.2,-2.6,16.1
2000-01-28,19.1,5.9,34.5,-5.4,16.1
2000-01-29,19.1,6.8,31.8,-6.0,16.1
2000-01-30,19.1,10.9,31.3,0.7,16.1
2000-01-31,19.1,16.2,24.8,11.5,16.1
2000-02-01,19.3,25.9,33.3,14.0,16.3
2000-02-02,19.3,29.8,42.1,18.9,16.3
2000-02-03,19.3,28.0,47.8,16.5,16.3
2000-02-04,19.3,25.7,37.4,18.7,16.3
2000-02-05,19.4,26.8,42.4,20.5,16.4
2000-02-06,19.4,26.4,40.6,19.2,16.4
2000-02-07,19.4,25.7,46.2,16.5,16.4
2000-02-08,19.5,32.0,44.6,22.3,16.5
2000-02-09,19.5,31.3,41.2,21.7,16.5
2000-02-10,19.6,26.6,44.4,15.3,16.6
2000-02-11,20.0,27.1,32.7,21.4,17.0
2000-02-12,20.5,25.2,31.3,22.5,17.5
2000-02-13,21.0,21.7,27.5,9.1,18.0
2000-02-14,22.8,29.3,34.3,23.2,19.8
2000-02-15,22.9,21.7,30.4,17.4,19.9
2000-02-16,22.9,21.4,35.8,10.6,19.9
2000-02-17,22.9,17.1,38.7,3.9,19.9
2000-02-18,22.9,9.7,38.3,-6.0,19.9
2000-02-19,22.9,12.6,42.6,-3.3,19.9
2000-02-20,23.0,22.1,36.9,7.7,20.0
2000-02-21,23.0,32.0,44.6,26.6,20.0
2000-02-22,23.1,30.9,39.6,26.2,20.1
2000-02-23,24.2,28.8,35.8,23.2,21.2
2000-02-24,24.4,20.3,25.9,11.1,21.4
2000-02-25,24.4,15.3,36.7,-0.4,21.4
2000-02-26,24.7,23.2,32.2,14.4,21.7
2000-02-27,25.2,30.6,42.3,26.2,22.2
2000-02-28,25.3,27.5,40.6,19.2,22.3
2000-02-29,25.4,25.9,35.2,14.7,22.4
2000-03-01,25.4,25.2,45.0,13.1,22.4
2000-03-02,25.4,24.3,47.7,7.9,22.4
2000-03-03,25.4,27.0,54.3,13.3,22.4
2000-03-04,25.4,29.8,55.0,12.4,22.4
2000-03-05,25.4,36.3,56.7,24.6,22.4
2000-03-06,25.4,32.4,45.5,24.6,22.4
2000-03-07,25.5,22.3,41.0,11.3,22.5
2000-03-08,25.5,22.1,40.5,8.6,22.5
2000-03-09,25.9,21.9,26.8,16.0,22.9
2000-03-10,25.9,23.4,42.1,8.8,22.9
2000-03-11,25.9,23.4,39.9,6.3,22.9
2000-03-12,25.9,19.0,38.1,1.8,22.9
2000-03-13,26.0,26.2,46.8,9.1,23.0
2000-03-14,26.1,29.3,41.2,19.6,23.1
2000-03-15,26.1,20.1,39.4,5.9,23.1
2000-03-16,26.4,23.7,39.6,10.2,23.3
2000-03-17,26.5,20.5,29.8,12.7,23.4
2000-03-18,26.8,23.2,40.5,2.7,23.7
2000-03-19,27.1,23.0,33.8,7.3,24.0
2000-03-20,27.1,17.6,38.7,2.1,24.0
2000-03-21,27.2,24.4,51.4,3.2,24.0
2000-03-22,27.2,32.7,59.7,16.7,24.0
2000-03-23,27.4,26.2,40.5,7.5,24.2
2000-03-24,27.4,21.4,46.2,3.9,24.2
2000-03-25,27.5,30.2,52.5,14.2,24.2
2000-03-26,27.5,33.8,55.2,19.8,24.2
2000-03-27,27.6,35.6,61.2,19.4,24.3
2000-03-28,27.6,24.3,33.1,9.7,24.3
2000-03-29,27.7,19.9,33.4,7.7,24.4
2000-03-30,27.7,25.9,47.1,7.7,24.4
2000-03-31,27.7,29.5,49.6,13.1,24.3
2000-04-01,27.8,35.1,52.0,18.3,24.1
2000-04-02,27.8,37.4,55.4,24.8,23.8
2000-04-03,27.8,37.0,61.0,20.8,23.5
2000-04-04,27.8,42.4,60.8,26.2,23.0
2000-04-05,27.8,36.0,50.0,24.6,22.7
2000-04-06,28.0,28.8,34.5,20.5,22.8
2000-04-07,28.0,30.0,52.7,11.3,22.7
2000-04-08,28.1,38.3,62.8,17.2,22.4
2000-04-09,28.1,35.2,46.4,25.0,22.0
2000-04-10,28.1,37.0,58.3,21.9,21.6
2000-04-11,28.1,38.5,61.7,22.3,21.1
2000-04-12,28.1,41.9,63.1,26.2,20.5
2000-04-13,28.7,33.8,40.3,29.3,20.5
2000-04-14,28.8,34.2,47.8,23.0,20.5
2000-04-15,28.8,32.9,48.6,19.8,20.2
2000-04-16,28.9,32.5,41.4,25.5,20.2
2000-04-17,28.9,38.3,55.9,27.1,19.8
2000-04-18,29.0,39.2,55.2,30.0,19.3
2000-04-19,29.0,39.2,53.1,28.0,18.9
2000-04-20,29.3,37.8,59.9,26.6,18.8
2000-04-21,29.5,39.9,60.4,29.7,18.3
2000-04-22,29.6,35.2,45.3,28.8,17.9
2000-04-23,29.6,30.7,44.1,20.8,17.9
2000-04-24,29.6,29.7,44.2,15.8,17.9
2000-04-25,30.1,32.4,36.1,26.2,18.0
2000-04-26,30.1,37.2,53.8,25.3,17.7
2000-04-27,30.2,46.4,70.3,27.9,17.1
2000-04-28,30.2,37.2,50.7,25.7,16.3
2000-04-29,30.2,33.3,48.9,22.5,15.7
2000-04-30,30.2,40.3,63.7,20.7,15.3
2000-05-01,30.2,45.3,69.8,27.0,14.5
2000-05-02,30.3,41.0,56.5,29.8,13.8
2000-05-03,30.3,44.1,63.5,27.7,12.9
2000-05-04,30.6,37.8,49.5,31.8,12.6
2000-05-05,30.8,34.7,46.8,27.9,12.4
2000-05-06,30.9,34.0,46.8,28.2,12.2
2000-05-07,31.0,36.0,49.6,27.0,12.0
2000-05-08,31.3,33.3,44.8,25.2,11.8
2000-05-09,31.8,32.9,38.3,29.5,12.2
2000-05-10,32.2,28.4,37.9,20.1,12.5
2000-05-11,32.5,26.2,38.8,20.1,12.7
2000-05-12,32.5,31.3,43.7,20.5,12.7
2000-05-13,32.6,38.5,54.0,23.5,12.6
2000-05-14,32.7,41.4,59.9,29.8,12.1
2000-05-15,32.7,42.8,61.2,31.6,11.4
2000-05-16,32.8,41.4,59.5,35.1,10.9
2000-05-17,32.8,42.6,53.2,33.1,9.9
2000-05-18,32.8,43.0,59.4,29.7,9.2
2000-05-19,32.8,42.1,59.7,28.4,8.3
2000-05-20,32.8,44.1,63.0,27.3,7.3
2000-05-21,32.8,48.0,69.1,30.7,6.1
2000-05-22,32.8,48.0,63.3,34.3,5.2
2000-05-23,32.8,46.0,59.2,33.4,4.2
2000-05-24,32.8,46.0,60.8,33.3,3.1
2000-05-25,32.8,45.3,59.7,32.5,2.3
2000-05-26,32.8,41.0,54.0,31.8,1.5
2000-05-27,32.8,43.5,59.4,30.2,0.7
2000-05-28,32.9,45.0,55.4,32.2,0.0
2000-05-29,33.0,40.8,54.1,28.0,0.0
2000-05-30,33.0,39.4,55.6,26.4,0.0
2000-05-31,33.0,30.4,37.8,23.4,0.0
2000-06-01,33.0,42.3,61.5,24.1,0.0
2000-06-02,33.0,50.4,73.0,29.7,0.0
2000-06-03,33.0,51.6,70.7,33.1,0.0
2000-06-04,33.0,55.9,76.5,33.8,0.0
2000-06-05,33.0,55.8,73.0,39.6,0.0
2000-06-06,33.0,53.6,71.6,35.1,0.0
2000-06-07,33.0,58.8,78.6,39.9,0.0
2000-06-08,33.0,45.3,59.2,30.9,0.0
2000-06-09,33.0,39.4,51.8,27.5,0.0
2000-06-10,33.0,41.7,55.6,29.1,0.0
2000-06-11,33.2,40.5,52.9,27.0,0.0
2000-06-12,34.0,42.1,45.7,38.5,0.0
2000-06-13,34.0,46.0,60.8,32.7,0.0
2000-06-14,34.0,54.1,68.9,33.3,0.0
2000-06-15,34.0,50.7,61.0,33.1,0.0
2000-06-16,34.0,45.3,62.2,29.5,0.0
2000-06-17,34.0,48.4,65.3,28.8,0.0
2000-06-18,34.0,53.1,72.5,32.0,0.0
2000-06-19,34.0,44.4,56.5,29.7,0.0
2000-06-20,34.0,47.1,64.4,27.5,0.0
2000-06-21,34.0,54.3,72.9,34.2,0.0
2000-06-22,34.0,55.9,73.4,40.1,0.0
2000-06-23,34.0,54.1,73.9,34.9,0.0
2000-06-24,34.0,53.4,71.8,33.4,0.0
2000-06-25,34.0,54.1,72.3,36.9,0.0
2000-06-26,34.0,55.8,73.8,36.9,0.0
2000-06-27,34.0,55.8,73.4,39.2,0.0
2000-06-28,34.0,56.5,74.3,36.9,0.0
