"year","month_index","INDEX","value","forecast_year","date_index","forecast_month","site_id"
1984,1,"SOI",NA,1984,1984-01-31,2,"hungry_horse_reservoir_inflow"
1984,1,"SOI",NA,1984,1984-01-31,2,"pueblo_reservoir_inflow"
1984,1,"SOI",NA,1984,1984-01-31,2,"sweetwater_r_nr_alcova"
1984,1,"SOI",NA,1984,1984-01-31,2,"missouri_r_at_toston"
1984,1,"SOI",NA,1984,1984-01-31,2,"animas_r_at_durango"
1984,1,"SOI",NA,1984,1984-01-31,2,"yampa_r_nr_maybell"
1984,1,"SOI",NA,1984,1984-01-31,2,"green_r_bl_howard_a_hanson_dam"
1984,1,"SOI",NA,1984,1984-01-31,2,"taylor_park_reservoir_inflow"
1984,1,"SOI",NA,1984,1984-01-31,2,"ruedi_reservoir_inflow"
1984,1,"SOI",NA,1984,1984-01-31,2,"weber_r_nr_oakley"
1984,1,"SOI",NA,1984,1984-01-31,2,"san_joaquin_river_millerton_reservoir"
1984,1,"SOI",NA,1984,1984-01-31,2,"merced_river_yosemite_at_pohono_bridge"
1984,1,"SOI",NA,1984,1984-01-31,2,"american_river_folsom_lake"
1984,1,"SOI",NA,1984,1984-01-31,2,"colville_r_at_kettle_falls"
1984,1,"SOI",NA,1984,1984-01-31,2,"detroit_lake_inflow"
1984,1,"SOI",NA,1984,1984-01-31,2,"virgin_r_at_virtin"
1984,1,"SOI",NA,1984,1984-01-31,2,"skagit_ross_reservoir"
1984,1,"SOI",NA,1984,1984-01-31,2,"boysen_reservoir_inflow"
1984,1,"SOI",NA,1984,1984-01-31,2,"pecos_r_nr_pecos"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"hungry_horse_reservoir_inflow"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"snake_r_nr_heise"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"pueblo_reservoir_inflow"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"sweetwater_r_nr_alcova"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"missouri_r_at_toston"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"animas_r_at_durango"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"yampa_r_nr_maybell"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"libby_reservoir_inflow"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"boise_r_nr_boise"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"green_r_bl_howard_a_hanson_dam"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"taylor_park_reservoir_inflow"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"dillon_reservoir_inflow"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"ruedi_reservoir_inflow"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"fontenelle_reservoir_inflow"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"weber_r_nr_oakley"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"san_joaquin_river_millerton_reservoir"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"merced_river_yosemite_at_pohono_bridge"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"colville_r_at_kettle_falls"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"stehekin_r_at_stehekin"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"detroit_lake_inflow"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"virgin_r_at_virtin"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"skagit_ross_reservoir"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"boysen_reservoir_inflow"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"pecos_r_nr_pecos"
1984,1,"PNA",0.833333333333333,1984,1984-01-31,2,"owyhee_r_bl_owyhee_dam"
1984,1,"PDO",NA,1984,1984-01-31,2,"hungry_horse_reservoir_inflow"
1984,1,"PDO",NA,1984,1984-01-31,2,"sweetwater_r_nr_alcova"
1984,1,"PDO",NA,1984,1984-01-31,2,"animas_r_at_durango"
1984,1,"PDO",NA,1984,1984-01-31,2,"yampa_r_nr_maybell"
1984,1,"PDO",NA,1984,1984-01-31,2,"libby_reservoir_inflow"
1984,1,"PDO",NA,1984,1984-01-31,2,"green_r_bl_howard_a_hanson_dam"
1984,1,"PDO",NA,1984,1984-01-31,2,"ruedi_reservoir_inflow"
1984,1,"PDO",NA,1984,1984-01-31,2,"merced_river_yosemite_at_pohono_bridge"
1984,1,"PDO",NA,1984,1984-01-31,2,"american_river_folsom_lake"
1984,1,"PDO",NA,1984,1984-01-31,2,"colville_r_at_kettle_falls"
1984,1,"PDO",NA,1984,1984-01-31,2,"stehekin_r_at_stehekin"
1984,1,"PDO",NA,1984,1984-01-31,2,"detroit_lake_inflow"
1984,1,"PDO",NA,1984,1984-01-31,2,"virgin_r_at_virtin"
1984,1,"PDO",NA,1984,1984-01-31,2,"skagit_ross_reservoir"
1984,1,"PDO",NA,1984,1984-01-31,2,"boysen_reservoir_inflow"
1984,1,"PDO",NA,1984,1984-01-31,2,"pecos_r_nr_pecos"
1984,2,"SOI",NA,1984,1984-02-29,3,"hungry_horse_reservoir_inflow"
1984,2,"SOI",NA,1984,1984-02-29,3,"pueblo_reservoir_inflow"
