date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2003-10-01,0.1,40.8,52.5,33.1,0.0
2003-10-02,0.5,35.2,43.5,29.7,0.0
2003-10-03,0.6,34.7,42.1,29.5,0.0
2003-10-04,0.6,35.2,46.6,26.8,0.0
2003-10-05,0.6,36.5,50.9,25.7,0.0
2003-10-06,0.6,39.0,56.7,26.2,0.0
2003-10-07,0.6,40.3,55.0,28.8,0.0
2003-10-08,0.6,41.2,59.9,29.1,0.0
2003-10-09,0.6,44.6,61.7,27.9,0.0
2003-10-10,0.6,42.4,56.1,28.8,0.0
2003-10-11,0.6,38.7,58.6,23.9,0.0
2003-10-12,0.6,41.0,58.8,26.6,0.0
2003-10-13,0.6,34.7,47.5,19.8,0.0
2003-10-14,0.6,34.9,53.2,18.3,0.0
2003-10-15,0.6,40.6,58.5,27.1,0.0
2003-10-16,0.6,41.2,59.4,29.1,0.0
2003-10-17,0.6,43.2,67.5,27.3,0.0
2003-10-18,0.6,44.6,68.4,27.0,0.0
2003-10-19,0.6,43.5,65.8,28.8,0.0
2003-10-20,0.6,43.0,67.1,26.4,0.0
2003-10-21,0.6,45.7,69.6,28.8,0.0
2003-10-22,0.6,46.2,67.3,32.4,0.0
2003-10-23,0.6,43.2,65.1,29.5,0.0
2003-10-24,0.6,38.3,55.9,27.5,0.0
2003-10-25,0.6,25.3,38.3,10.8,0.0
2003-10-26,0.6,29.8,49.6,9.5,0.0
2003-10-27,0.8,36.1,52.0,22.5,0.0
2003-10-28,0.8,39.0,57.6,27.0,0.0
2003-10-29,0.8,39.4,54.1,26.8,0.0
2003-10-30,0.8,34.5,46.4,24.8,0.0
2003-10-31,0.9,34.2,42.1,25.0,0.0
2003-11-01,1.4,31.3,34.7,28.8,0.6
2003-11-02,2.2,31.3,36.0,28.8,1.3
2003-11-03,2.7,23.7,29.8,11.5,2.0
2003-11-04,2.7,14.0,32.7,0.3,1.9
2003-11-05,2.7,16.9,29.1,7.7,1.7
2003-11-06,3.0,21.4,36.1,6.4,1.9
2003-11-07,3.0,26.4,36.9,19.8,1.9
2003-11-08,3.0,25.9,43.9,16.7,1.8
2003-11-09,3.4,29.5,39.9,19.8,2.1
2003-11-10,3.8,27.0,31.5,24.3,2.8
2003-11-11,3.8,24.8,39.0,12.4,2.6
2003-11-12,4.4,25.5,44.4,10.8,3.0
2003-11-13,4.6,27.3,31.5,24.4,3.3
2003-11-14,4.6,23.0,37.4,9.5,3.3
2003-11-15,4.6,18.3,38.1,5.9,3.3
2003-11-16,5.2,20.3,30.2,10.4,3.8
2003-11-17,5.6,19.2,30.2,9.5,4.3
2003-11-18,5.6,19.6,41.0,0.3,4.2
2003-11-19,5.6,27.5,58.5,9.7,4.2
2003-11-20,5.6,29.3,51.4,16.5,4.2
2003-11-21,5.6,27.7,42.4,17.6,4.2
2003-11-22,5.7,11.7,25.2,-7.2,4.4
2003-11-23,5.7,1.6,21.0,-15.3,4.4
2003-11-24,6.0,18.9,40.3,2.7,4.6
2003-11-25,6.2,18.9,32.2,15.4,4.8
2003-11-26,6.2,11.5,23.0,3.4,4.8
2003-11-27,6.2,4.6,25.5,-7.6,4.8
2003-11-28,6.2,19.9,45.7,2.7,4.9
2003-11-29,6.2,28.0,54.3,11.7,4.9
2003-11-30,6.2,33.3,57.7,20.5,4.9
2003-12-01,6.2,32.4,49.6,21.2,4.9
2003-12-02,6.2,25.5,39.9,10.6,4.9
2003-12-03,6.2,22.5,45.0,9.0,4.9
2003-12-04,6.2,23.5,47.8,11.1,4.9
2003-12-05,6.4,26.2,46.2,13.8,4.9
2003-12-06,6.5,31.6,45.9,24.1,4.9
2003-12-07,6.9,25.2,30.2,21.9,5.1
2003-12-08,7.0,19.2,28.0,10.0,5.4
2003-12-09,7.0,10.6,31.6,-0.2,5.4
