date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2014-10-01,0.5,1.0,31.8,38.8,27.5,0.3
2014-10-02,0.6,1.0,30.9,38.7,25.7,0.1
2014-10-03,0.6,0.0,35.6,49.1,26.8,0.0
2014-10-04,0.7,0.0,40.8,55.0,29.5,0.0
2014-10-05,0.7,0.0,41.2,54.1,31.3,0.0
2014-10-06,0.7,0.0,44.1,58.5,34.0,0.0
2014-10-07,0.7,0.0,46.6,61.9,37.8,0.0
2014-10-08,0.7,0.0,48.0,63.7,36.1,0.0
2014-10-09,1.0,0.0,42.1,49.5,35.1,0.0
2014-10-10,1.0,0.0,39.9,55.4,31.3,0.0
2014-10-11,1.1,0.0,42.4,55.0,34.9,0.0
2014-10-12,1.5,3.0,30.6,41.0,26.6,0.5
2014-10-13,1.5,3.0,29.3,39.6,24.3,0.4
2014-10-14,1.6,1.0,38.8,57.0,26.8,0.2
2014-10-15,1.6,0.0,49.8,65.3,38.1,0.0
2014-10-16,1.6,0.0,46.8,59.5,39.0,0.0
2014-10-17,1.6,0.0,44.1,60.1,36.0,0.0
2014-10-18,1.6,0.0,45.0,62.1,34.3,0.0
2014-10-19,1.6,0.0,45.7,61.5,34.3,0.0
2014-10-20,1.7,0.0,45.9,61.9,37.2,0.0
2014-10-21,1.7,0.0,42.4,53.8,34.5,0.0
2014-10-22,1.7,0.0,38.3,51.4,33.3,0.0
2014-10-23,1.8,0.0,42.8,55.8,33.1,0.0
2014-10-24,1.8,0.0,48.2,62.8,40.3,0.0
2014-10-25,1.8,0.0,50.0,65.3,39.9,0.0
2014-10-26,2.5,5.0,43.2,57.2,28.0,1.0
2014-10-27,3.0,9.0,23.4,32.0,17.1,1.3
2014-10-28,3.0,7.0,25.5,39.2,17.1,1.2
2014-10-29,3.1,6.0,33.8,46.4,24.3,1.1
2014-10-30,3.1,4.0,36.7,52.0,29.5,1.1
2014-10-31,3.2,4.0,41.2,57.9,29.1,1.0
2014-11-01,3.2,4.0,44.1,55.2,39.4,1.0
2014-11-02,3.2,4.0,35.2,42.4,29.3,1.0
2014-11-03,4.0,10.0,24.4,29.7,20.7,1.8
2014-11-04,4.0,9.0,24.3,37.4,14.7,1.8
2014-11-05,4.0,8.0,29.7,45.5,21.9,1.7
2014-11-06,4.1,7.0,37.2,53.8,25.2,1.7
2014-11-07,4.1,6.0,36.7,46.8,26.4,1.7
2014-11-08,4.1,6.0,34.7,50.7,24.8,1.7
2014-11-09,4.1,6.0,39.0,51.3,31.8,1.7
2014-11-10,4.4,10.0,23.2,37.4,11.5,2.2
2014-11-11,4.4,10.0,12.7,19.2,0.1,2.2
2014-11-12,4.4,10.0,-1.8,8.2,-7.2,2.2
2014-11-13,4.7,12.0,11.8,21.2,-3.1,2.5
2014-11-14,4.8,12.0,24.3,27.9,21.0,2.6
2014-11-15,4.9,13.0,11.3,24.6,-5.6,2.7
2014-11-16,4.9,13.0,0.7,12.7,-7.8,2.7
2014-11-17,4.9,13.0,6.3,19.0,-1.1,2.7
2014-11-18,5.0,13.0,16.0,26.8,5.9,2.7
2014-11-19,5.1,13.0,23.2,30.2,16.7,2.7
2014-11-20,5.1,13.0,27.1,36.1,19.8,2.7
2014-11-21,5.1,12.0,27.0,37.2,22.1,2.7
2014-11-22,5.4,12.0,28.0,38.5,22.1,2.9
2014-11-23,5.4,13.0,14.4,22.1,8.6,3.1
2014-11-24,5.9,19.0,11.5,20.1,8.4,3.5
2014-11-25,6.1,19.0,16.2,23.2,7.5,3.6
2014-11-26,6.1,18.0,27.3,31.5,23.4,3.6
2014-11-27,6.1,17.0,29.8,36.9,23.7,3.5
2014-11-28,6.1,16.0,34.3,45.0,28.4,3.5
2014-11-29,6.1,16.0,34.3,45.5,28.8,3.4
2014-11-30,6.1,15.0,30.2,36.5,24.3,3.4
