date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2000-10-01,0.0,52.7,63.3,44.4,0.0
2000-10-02,0.0,50.0,62.1,42.8,0.0
2000-10-03,0.0,45.0,48.9,40.3,0.0
2000-10-04,0.0,43.2,55.0,29.1,0.0
2000-10-05,0.0,35.8,47.8,25.0,0.0
2000-10-06,0.0,32.9,46.4,21.4,0.0
2000-10-07,0.0,31.3,47.3,20.5,0.0
2000-10-08,0.0,41.4,57.6,27.9,0.0
2000-10-09,0.0,44.6,56.8,35.8,0.0
2000-10-10,0.0,44.1,57.4,34.0,0.0
2000-10-11,0.0,37.0,53.1,30.6,0.0
2000-10-12,0.0,31.8,36.7,27.0,0.0
2000-10-13,0.4,30.0,37.8,26.2,0.0
2000-10-14,1.0,28.0,30.4,25.5,0.0
2000-10-15,1.0,32.4,43.0,24.4,0.0
2000-10-16,1.0,36.5,45.7,29.7,0.0
2000-10-17,1.1,41.7,53.2,33.4,0.0
2000-10-18,1.1,45.9,55.9,40.1,0.0
2000-10-19,1.1,43.2,53.2,36.9,0.0
2000-10-20,1.1,43.2,53.2,35.6,0.0
2000-10-21,1.2,41.7,54.0,29.8,0.0
2000-10-22,1.2,31.8,37.2,27.7,0.0
2000-10-23,1.2,41.2,52.2,34.7,0.0
2000-10-24,1.2,37.2,46.2,30.7,0.0
2000-10-25,1.5,31.6,33.8,29.8,0.2
2000-10-26,1.5,35.1,46.6,29.5,0.4
2000-10-27,1.5,39.4,48.9,30.9,0.2
2000-10-28,1.5,38.1,45.0,32.5,0.0
2000-10-29,1.5,33.4,41.7,30.0,0.0
2000-10-30,1.5,34.7,44.6,29.3,0.0
2000-10-31,2.4,27.5,32.7,23.5,1.0
2000-11-01,2.7,21.4,24.3,17.2,1.1
2000-11-02,2.7,16.3,25.0,11.5,1.1
2000-11-03,2.7,18.9,27.9,11.8,1.1
2000-11-04,3.0,27.9,37.9,19.8,1.2
2000-11-05,3.0,18.7,28.2,14.2,1.5
2000-11-06,3.0,10.6,19.6,3.2,1.5
2000-11-07,3.0,7.5,15.3,0.1,1.5
2000-11-08,3.6,17.2,25.2,9.5,2.1
2000-11-09,3.6,19.9,23.2,17.2,2.1
2000-11-10,4.1,17.8,27.3,3.2,2.7
2000-11-11,4.1,8.1,19.8,2.7,2.7
2000-11-12,4.1,4.1,8.6,0.9,2.7
2000-11-13,4.3,7.0,11.7,2.3,2.8
2000-11-14,4.5,17.8,26.6,10.6,3.0
2000-11-15,4.6,10.8,16.5,6.1,3.1
2000-11-16,4.6,6.1,15.3,1.8,3.1
2000-11-17,4.7,5.2,12.0,-0.9,3.2
2000-11-18,5.0,9.9,15.8,2.1,3.3
2000-11-19,5.3,16.0,23.4,8.8,3.4
2000-11-20,5.4,21.6,29.3,13.8,3.5
2000-11-21,5.4,28.2,36.1,22.3,3.5
2000-11-22,5.4,29.8,40.8,20.5,3.5
2000-11-23,5.4,25.2,38.5,18.9,3.5
2000-11-24,5.7,22.6,30.2,16.0,3.8
2000-11-25,5.7,17.4,21.6,12.4,3.8
2000-11-26,5.7,21.2,23.5,16.3,3.9
2000-11-27,5.7,22.5,24.8,20.1,3.9
2000-11-28,5.7,19.4,20.8,17.1,3.9
2000-11-29,5.8,29.5,36.5,19.9,3.9
2000-11-30,5.8,17.8,26.2,12.4,3.9
2000-12-01,5.8,18.0,27.3,10.8,3.9
2000-12-02,6.2,28.0,37.2,22.1,4.0
2000-12-03,6.2,27.0,32.4,23.9,4.1
2000-12-04,6.2,25.7,32.4,21.7,4.1
2000-12-05,6.2,20.7,27.3,12.0,4.1
2000-12-06,6.2,23.2,28.0,14.9,4.2
2000-12-07,6.2,27.3,33.1,23.4,4.2
2000-12-08,6.3,25.3,29.3,23.5,4.3
2000-12-09,6.3,24.1,27.1,22.1,4.3
2000-12-10,6.3,19.0,25.5,5.0,4.5
2000-12-11,6.3,5.0,9.5,0.7,4.6
2000-12-12,6.7,14.9,21.4,9.5,4.8
2000-12-13,6.8,13.8,15.4,12.0,5.1
2000-12-14,7.2,18.3,20.3,15.4,5.4
2000-12-15,7.2,15.4,19.8,5.7,5.6
2000-12-16,7.4,9.9,18.9,3.9,5.7
2000-12-17,7.4,14.0,22.6,5.4,5.8
2000-12-18,7.6,7.2,10.9,4.6,5.9
2000-12-19,7.6,17.4,25.0,10.6,6.0
2000-12-20,7.6,9.7,16.2,4.6,6.0
2000-12-21,8.4,16.0,24.4,6.8,6.2
2000-12-22,8.4,21.6,25.2,18.7,6.2
2000-12-23,8.4,19.0,21.4,17.1,6.2
2000-12-24,8.5,22.6,30.6,19.4,6.5
2000-12-25,8.5,13.5,19.2,7.3,6.5
2000-12-26,8.6,17.6,25.9,9.3,6.6
2000-12-27,8.7,25.7,32.9,17.6,6.7
2000-12-28,8.7,19.0,23.9,13.6,6.6
2000-12-29,8.7,18.9,25.5,14.0,6.6
2000-12-30,8.9,20.7,23.9,17.6,6.9
2000-12-31,8.9,18.9,22.5,14.7,6.9
2001-01-01,8.9,18.3,23.2,13.5,6.9
2001-01-02,9.0,19.0,24.3,13.5,6.9
2001-01-03,9.2,26.2,32.2,20.1,6.9
2001-01-04,9.2,30.7,35.2,28.4,6.9
2001-01-05,9.4,33.1,41.2,29.7,6.9
2001-01-06,9.4,26.6,34.3,12.6,6.9
2001-01-07,9.4,16.7,24.4,9.9,6.9
2001-01-08,9.4,27.5,34.2,23.0,7.0
2001-01-09,9.4,28.8,39.6,24.1,7.3
2001-01-10,9.4,22.1,24.1,18.3,7.7
2001-01-11,9.6,23.5,29.5,16.9,7.7
2001-01-12,9.6,27.0,37.8,21.4,7.7
2001-01-13,9.6,15.3,21.6,11.8,7.7
2001-01-14,9.6,11.7,14.2,8.8,7.7
2001-01-15,9.6,8.4,18.7,4.1,7.7
2001-01-16,9.6,5.0,19.0,-0.8,7.7
2001-01-17,9.6,6.1,17.2,0.0,7.7
2001-01-18,9.7,11.1,17.6,6.8,7.8
2001-01-19,10.0,15.4,21.9,8.8,7.9
2001-01-20,10.0,14.0,17.6,11.1,8.2
2001-01-21,10.3,17.8,24.4,10.4,8.2
2001-01-22,10.5,26.2,38.8,20.3,8.2
2001-01-23,10.5,23.5,33.3,15.6,8.2
2001-01-24,10.6,24.8,35.6,15.3,8.3
2001-01-25,10.6,21.0,28.0,13.3,8.5
2001-01-26,10.6,15.8,25.9,10.9,8.6
2001-01-27,10.7,18.3,30.9,12.2,8.7
2001-01-28,10.7,15.8,24.1,12.2,8.9
2001-01-29,10.9,11.8,18.3,8.4,9.1
2001-01-30,10.9,7.9,14.7,3.4,9.1
2001-01-31,10.9,6.6,12.2,1.9,9.3
2001-02-01,11.4,11.8,17.1,4.5,9.4
2001-02-02,11.6,21.9,27.9,16.2,9.4
2001-02-03,11.6,21.4,23.9,19.2,9.4
2001-02-04,11.6,24.1,29.1,18.9,9.4
2001-02-05,11.6,25.7,30.0,18.7,9.4
2001-02-06,12.0,27.3,35.2,18.0,9.6
2001-02-07,12.1,22.5,31.6,12.0,9.6
2001-02-08,12.1,2.5,12.0,-8.7,9.8
2001-02-09,12.1,6.6,16.5,-5.4,9.9
2001-02-10,12.3,18.9,28.4,10.4,10.0
2001-02-11,12.3,16.5,23.9,10.6,10.1
2001-02-12,12.7,19.2,23.7,10.4,10.3
2001-02-13,12.7,24.1,33.1,18.3,10.3
2001-02-14,12.8,12.9,19.2,5.5,10.6
2001-02-15,12.8,14.0,22.1,9.0,10.6
2001-02-16,13.1,21.7,31.8,14.5,10.6
2001-02-17,13.3,23.7,32.4,16.7,10.6
2001-02-18,13.4,26.2,32.4,23.4,10.7
2001-02-19,13.4,25.3,27.3,23.4,10.9
2001-02-20,13.5,26.8,33.1,21.6,11.0
2001-02-21,13.5,22.1,28.8,18.7,11.1
2001-02-22,13.8,27.5,37.9,20.3,11.1
2001-02-23,13.8,27.7,38.1,20.3,11.1
2001-02-24,13.8,16.7,20.1,14.0,11.3
2001-02-25,13.8,18.3,22.3,14.9,11.6
2001-02-26,14.0,21.7,32.5,16.2,11.6
2001-02-27,14.0,16.0,26.2,10.0,11.8
2001-02-28,14.0,23.9,42.8,14.7,11.9
2001-03-01,14.2,18.9,25.9,12.6,11.9
2001-03-02,14.4,19.9,30.4,13.8,12.0
2001-03-03,14.4,21.4,33.3,14.0,12.0
2001-03-04,14.7,25.7,36.5,15.6,12.1
2001-03-05,14.7,33.3,41.9,25.9,12.1
2001-03-06,14.7,32.2,44.1,24.6,12.1
2001-03-07,14.7,31.6,44.1,24.4,12.1
2001-03-08,14.7,31.5,42.1,24.1,12.1
2001-03-09,14.7,32.7,41.4,26.6,12.1
2001-03-10,14.7,27.0,33.8,21.2,12.4
2001-03-11,14.8,20.1,24.1,14.9,12.7
2001-03-12,15.0,18.3,21.9,12.4,12.8
2001-03-13,15.1,23.5,30.0,19.2,12.8
2001-03-14,15.1,18.7,25.0,12.6,13.0
2001-03-15,15.1,15.6,26.2,8.1,13.1
2001-03-16,15.4,20.1,28.0,12.2,13.2
2001-03-17,15.6,23.0,36.5,14.5,13.3
2001-03-18,15.7,22.1,29.3,17.2,13.5
2001-03-19,16.1,30.7,40.3,20.5,13.6
2001-03-20,16.2,36.0,47.1,31.5,13.6
2001-03-21,16.2,34.3,41.2,31.3,13.8
2001-03-22,16.2,35.8,47.1,26.6,13.8
2001-03-23,16.2,38.1,49.5,30.4,14.0
