date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2023-10-01,0.0,0.0,36.9,42.1,33.1,0.0
2023-10-02,0.0,0.0,41.4,45.1,37.9,0.0
2023-10-03,0.0,0.0,40.5,46.8,32.4,0.0
2023-10-04,0.0,0.0,43.3,50.4,36.3,0.0
2023-10-05,0.0,0.0,41.0,52.7,30.2,0.0
2023-10-06,0.0,0.0,39.4,55.0,30.2,0.0
2023-10-07,0.0,0.0,43.0,59.0,34.9,0.0
2023-10-08,0.0,0.0,46.8,61.7,36.3,0.0
2023-10-09,0.0,0.0,51.4,64.2,40.6,0.0
2023-10-10,0.2,0.0,45.0,55.0,39.7,0.0
2023-10-11,0.2,0.0,39.0,43.3,35.6,0.0
2023-10-12,0.3,0.0,38.8,41.9,35.2,0.0
2023-10-13,0.3,0.0,39.9,48.9,34.2,0.0
2023-10-14,0.3,0.0,40.5,47.5,34.0,0.0
2023-10-15,0.3,0.0,42.8,48.0,37.9,0.0
2023-10-16,0.5,0.0,47.5,57.9,38.1,0.0
2023-10-17,0.9,0.0,38.8,43.9,35.6,0.0
2023-10-18,0.9,0.0,41.4,50.9,36.5,0.0
2023-10-19,0.9,0.0,49.3,59.4,35.2,0.0
2023-10-20,0.9,0.0,47.8,56.5,34.0,0.0
2023-10-21,0.9,0.0,44.1,56.1,33.8,0.0
2023-10-22,1.0,0.0,38.8,45.0,33.6,0.0
2023-10-23,1.4,1.0,33.8,38.3,24.3,0.2
2023-10-24,1.8,7.0,15.4,24.6,9.0,0.6
2023-10-25,1.9,3.0,9.7,16.5,6.4,0.8
2023-10-26,1.9,5.0,10.6,15.4,4.6,0.8
2023-10-27,1.9,5.0,6.8,18.3,0.0,0.8
2023-10-28,2.1,4.0,10.9,20.7,-0.8,1.0
2023-10-29,2.2,4.0,17.8,21.2,11.1,1.0
2023-10-30,2.2,5.0,19.4,30.7,11.7,1.0
2023-10-31,2.2,5.0,22.5,35.6,14.4,1.0
2023-11-01,2.4,5.0,27.1,38.1,18.5,1.1
2023-11-02,4.0,16.0,33.6,36.0,30.2,2.6
2023-11-03,4.5,14.0,35.2,36.0,34.3,3.0
2023-11-04,5.1,11.0,36.5,39.9,33.4,3.3
2023-11-05,5.4,12.0,36.1,39.9,31.6,3.3
2023-11-06,5.7,12.0,33.3,39.9,28.4,3.4
2023-11-07,6.5,15.0,31.8,33.4,27.1,4.0
2023-11-08,6.5,14.0,27.0,28.9,21.9,4.0
2023-11-09,6.5,15.0,26.1,30.4,22.5,4.0
2023-11-10,6.7,17.0,27.5,29.3,20.7,4.2
2023-11-11,8.0,21.0,30.2,32.9,27.7,5.0
2023-11-12,8.0,22.0,29.3,34.7,25.0,5.1
