date,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2023-10-01,0.0,43.0,53.1,36.7,0.0
2023-10-02,0.0,41.0,43.2,38.3,0.0
2023-10-03,0.0,41.7,45.1,39.9,0.0
2023-10-04,0.0,43.2,46.0,39.6,0.0
2023-10-05,0.0,52.2,62.1,42.1,0.0
2023-10-06,0.0,57.7,68.0,49.5,0.0
2023-10-07,0.0,59.9,68.2,55.0,0.0
2023-10-08,0.0,56.1,63.1,51.3,0.0
2023-10-09,0.0,47.1,54.3,40.1,0.0
2023-10-10,0.0,37.6,40.3,35.4,0.0
2023-10-11,0.0,39.0,46.8,35.8,0.0
2023-10-12,0.0,45.0,54.0,37.2,0.0
2023-10-13,0.0,45.0,53.1,39.7,0.0
2023-10-14,0.0,40.8,45.1,38.3,0.1
2023-10-15,0.0,43.7,49.5,39.0,0.0
2023-10-16,0.0,43.9,50.9,33.8,0.2
2023-10-17,0.0,36.7,40.5,34.2,0.2
2023-10-18,0.0,46.4,50.2,39.9,0.0
2023-10-19,0.0,49.5,52.0,46.0,0.0
2023-10-20,0.0,45.9,49.3,42.6,0.0
2023-10-21,0.0,48.2,54.3,44.1,0.0
2023-10-22,0.0,41.7,46.0,37.6,0.0
2023-10-23,3.0,33.1,37.6,27.9,0.9
2023-10-24,11.0,28.6,30.7,27.0,1.6
2023-10-25,14.0,24.8,27.9,21.7,2.0
2023-10-26,13.0,22.5,26.6,19.4,1.9
2023-10-27,12.0,21.9,26.6,17.4,1.9
2023-10-28,11.0,30.9,37.0,21.9,2.0
2023-10-29,10.0,40.5,47.3,35.8,2.0
2023-10-30,9.0,46.4,54.0,41.0,2.0
2023-10-31,9.0,45.5,51.1,40.5,1.9
2023-11-01,8.0,42.6,48.2,37.0,2.2
2023-11-02,3.0,42.4,45.5,37.4,1.2
2023-11-03,1.0,38.5,43.3,35.8,0.7
2023-11-04,0.0,41.7,45.0,35.2,0.3
2023-11-05,1.0,35.1,36.9,33.8,1.1
2023-11-06,2.0,34.7,37.8,33.1,1.4
2023-11-07,3.0,31.1,33.6,27.9,1.6
2023-11-08,2.0,31.5,35.8,28.8,1.6
2023-11-09,6.0,33.4,39.7,29.8,1.9
2023-11-10,12.0,30.4,30.9,29.5,3.0
2023-11-11,27.0,31.3,33.8,29.3,6.2
2023-11-12,26.0,31.3,33.8,28.2,6.4
2023-11-13,32.0,28.9,32.9,23.7,7.3
2023-11-14,30.0,25.9,33.4,21.6,7.2
2023-11-15,30.0,26.2,31.1,22.6,7.3
2023-11-16,28.0,29.7,36.7,21.9,7.4
2023-11-17,27.0,41.0,46.8,34.3,7.3
2023-11-18,25.0,42.3,47.3,35.1,7.3
2023-11-19,35.0,28.9,35.2,25.7,9.5
2023-11-20,32.0,34.2,46.0,24.3,9.5
2023-11-21,34.0,42.8,49.6,31.6,9.6
2023-11-22,31.0,30.7,35.1,26.6,9.6
2023-11-23,32.0,25.7,28.8,23.4,10.4
2023-11-24,31.0,29.1,36.1,23.7,10.4
2023-11-25,30.0,37.2,40.5,31.6,10.4
2023-11-26,30.0,39.7,47.1,35.4,10.3
2023-11-27,29.0,41.5,48.2,37.4,10.3
2023-11-28,29.0,37.2,42.6,30.6,10.2
2023-11-29,29.0,28.8,32.9,25.0,10.0
2023-11-30,31.0,27.3,30.2,25.2,10.3
2023-12-01,39.0,26.4,28.0,25.3,11.2
2023-12-02,48.0,27.1,28.6,25.9,12.8
2023-12-03,49.0,29.5,33.8,25.9,14.1
2023-12-04,40.0,36.3,44.8,28.4,15.8
2023-12-05,32.0,38.3,44.6,33.6,15.9
2023-12-06,30.0,33.3,35.2,29.7,14.8
2023-12-07,41.0,27.9,30.7,23.9,15.0
2023-12-08,38.0,23.5,27.3,21.0,14.9
2023-12-09,49.0,26.8,31.5,20.8,17.0
2023-12-10,45.0,34.7,36.7,31.5,17.9
2023-12-11,43.0,33.3,39.7,30.2,17.6
2023-12-12,44.0,38.5,43.3,33.6,17.4
2023-12-13,43.0,41.0,45.0,37.2,17.5
2023-12-14,45.0,32.7,37.9,30.9,18.1
2023-12-15,43.0,39.2,44.4,31.1,18.3
2023-12-16,42.0,39.4,43.0,36.0,18.3
2023-12-17,41.0,43.5,49.5,36.3,18.4
2023-12-18,40.0,42.8,47.7,37.8,18.6
2023-12-19,38.0,37.9,40.8,35.8,19.5
2023-12-20,38.0,37.9,42.1,36.0,18.6
2023-12-21,37.0,37.9,40.3,35.6,18.3
