date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
2023-10-01,0.7,0.0,36.7,42.1,32.5
2023-10-02,0.9,0.0,37.4,44.2,32.2
2023-10-03,0.9,0.0,40.6,46.9,35.4
2023-10-04,0.9,0.0,42.8,57.4,33.1
2023-10-05,0.9,0.0,45.3,61.9,32.9
2023-10-06,0.9,0.0,48.2,62.6,36.7
2023-10-07,0.9,0.0,50.4,66.2,37.0
2023-10-08,0.9,0.0,54.7,69.3,41.2
2023-10-09,0.9,0.0,57.7,68.0,42.4
2023-10-10,0.9,0.0,46.6,59.9,38.5
2023-10-11,0.9,0.0,35.4,43.0,29.3
2023-10-12,0.9,0.0,33.6,46.2,26.2
2023-10-13,1.0,0.0,36.9,49.3,24.3
2023-10-14,1.0,0.0,45.9,57.2,36.0
2023-10-15,1.0,0.0,49.1,64.8,37.6
2023-10-16,1.0,0.0,54.7,68.9,39.7
2023-10-17,1.0,0.0,49.1,66.2,36.0
2023-10-18,1.0,0.0,48.7,66.0,35.8
2023-10-19,1.0,0.0,53.2,70.2,37.8
2023-10-20,1.0,0.0,55.0,70.9,41.9
2023-10-21,1.0,0.0,51.3,66.6,41.9
2023-10-22,1.0,0.0,50.5,62.6,42.3
2023-10-23,1.0,0.0,40.3,51.6,32.5
2023-10-24,1.0,0.0,42.4,50.9,28.0
2023-10-25,1.0,0.0,40.5,48.7,25.3
2023-10-26,1.0,0.0,24.1,32.9,17.4
2023-10-27,1.0,0.0,27.0,39.9,17.1
2023-10-28,1.0,0.0,18.7,29.3,10.0
2023-10-29,1.0,0.0,18.1,32.2,8.8
2023-10-30,1.0,0.0,25.5,42.8,12.7
2023-10-31,1.1,0.0,35.1,51.3,20.3
2023-11-01,1.1,0.0,44.1,53.1,35.8
2023-11-02,1.1,0.0,45.0,50.9,39.4
2023-11-03,1.1,0.0,43.7,54.0,35.2
2023-11-04,1.1,0.0,49.1,56.3,43.3
2023-11-05,1.2,0.0,44.6,50.0,37.4
2023-11-06,1.2,0.0,41.7,50.4,34.2
2023-11-07,1.2,0.0,29.1,38.8,21.4
2023-11-08,1.2,0.0,24.4,39.4,15.4
2023-11-09,1.2,0.0,28.4,43.3,15.6
2023-11-10,1.2,0.0,34.5,41.2,28.2
2023-11-11,1.2,0.0,36.7,43.7,30.9
2023-11-12,1.2,0.0,39.6,52.3,25.2
2023-11-13,1.2,0.0,40.3,46.6,32.0
2023-11-14,1.2,0.0,38.5,48.4,29.3
2023-11-15,1.2,0.0,43.3,52.3,34.2
2023-11-16,1.5,0.0,33.8,38.7,28.4
2023-11-17,1.6,0.0,34.7,44.4,25.2
2023-11-18,1.7,1.0,35.1,39.9,29.8
2023-11-19,2.0,2.0,24.6,32.2,13.6
2023-11-20,2.0,2.0,18.3,32.0,9.3
2023-11-21,2.1,2.0,29.5,42.8,17.2
2023-11-22,2.1,2.0,36.0,48.9,27.1
2023-11-23,2.3,4.0,24.1,28.8,19.2
2023-11-24,2.3,4.0,18.1,21.9,13.1
2023-11-25,2.3,4.0,16.7,28.8,7.5
2023-11-26,2.3,4.0,14.7,29.5,5.9
2023-11-27,2.3,4.0,21.2,35.6,11.1
2023-11-28,2.3,4.0,26.8,39.2,19.4
2023-11-29,2.3,4.0,27.1,37.6,16.3
2023-11-30,2.3,4.0,25.2,32.0,19.4
2023-12-01,2.7,6.0,21.7,23.9,18.3
2023-12-02,3.5,8.0,26.1,29.5,21.6
2023-12-03,4.5,13.0,31.5,33.1,29.5
2023-12-04,4.6,12.0,35.2,38.5,32.2
2023-12-05,4.6,12.0,40.5,48.7,30.9
2023-12-06,4.6,11.0,39.0,46.0,32.0
2023-12-07,5.1,15.0,26.1,31.5,19.9
2023-12-08,5.1,15.0,15.3,21.7,2.5
2023-12-09,5.1,14.0,15.8,25.0,2.5
2023-12-10,5.2,14.0,31.6,36.0,24.8
2023-12-11,5.2,14.0,31.1,40.5,25.7
2023-12-12,5.2,14.0,24.4,28.4,20.5
2023-12-13,5.2,13.0,21.7,31.3,14.7
2023-12-14,5.2,13.0,25.3,36.9,17.4
2023-12-15,5.2,13.0,26.8,40.6,19.6
2023-12-16,5.2,13.0,33.1,42.1,25.3
2023-12-17,5.2,13.0,33.3,45.0,23.0
2023-12-18,5.2,13.0,36.9,45.9,28.0
2023-12-19,5.2,12.0,36.7,42.6,32.9
2023-12-20,5.2,10.0,31.6,39.7,25.9
2023-12-21,5.2,9.0,32.0,43.0,25.7
2023-12-22,5.2,9.0,33.6,40.8,27.3
2023-12-23,5.2,9.0,15.3,25.0,2.7
2023-12-24,5.2,9.0,12.6,26.6,1.2
2023-12-25,5.2,9.0,20.3,32.5,11.3
2023-12-26,5.3,9.0,28.0,36.5,20.1
2023-12-27,5.3,9.0,25.3,36.9,15.6
2023-12-28,5.3,8.0,32.9,43.7,26.4
2023-12-29,5.3,8.0,33.4,45.1,26.1
2023-12-30,5.3,8.0,32.5,42.8,20.8
2023-12-31,5.3,8.0,25.3,38.8,18.5
2024-01-01,5.3,8.0,24.1,37.8,17.8
2024-01-02,5.3,8.0,27.5,36.1,18.3
2024-01-03,5.4,9.0,23.9,27.9,20.3
2024-01-04,5.4,8.0,22.1,29.5,18.7
2024-01-05,5.4,10.0,20.1,26.6,12.2
2024-01-06,5.6,11.0,18.7,23.4,13.3
2024-01-07,5.6,11.0,11.7,20.3,4.8
2024-01-08,5.7,11.0,10.8,16.2,1.6
2024-01-09,5.9,12.0,20.1,27.7,13.3
2024-01-10,6.3,16.0,13.3,20.7,5.0
2024-01-11,6.5,20.0,10.4,14.0,2.5
2024-01-12,7.7,26.0,17.8,20.8,12.2
2024-01-13,8.7,27.0,24.4,28.9,18.9
2024-01-14,9.2,27.0,25.7,29.8,21.4
2024-01-15,9.2,25.0,17.6,21.7,10.0
2024-01-16,9.3,26.0,24.4,29.1,18.9
2024-01-17,9.9,27.0,28.4,29.7,27.1
2024-01-18,9.9,26.0,28.6,33.6,23.0
2024-01-19,9.9,25.0,34.7,41.9,26.1
2024-01-20,10.0,25.0,32.2,34.3,28.9
2024-01-21,10.0,24.0,30.7,34.3,23.7
2024-01-22,10.1,25.0,29.7,33.8,24.3
2024-01-23,10.3,26.0,29.7,33.6,23.7
2024-01-24,10.3,26.0,27.0,28.9,21.0
2024-01-25,10.3,26.0,25.9,35.6,19.0
2024-01-26,10.3,25.0,23.7,30.0,12.6
2024-01-27,10.3,24.0,36.1,43.7,28.0
2024-01-28,10.3,23.0,39.0,47.1,34.9
2024-01-29,10.3,22.0,37.4,53.2,30.9
2024-01-30,10.3,22.0,36.1,46.9,29.7
2024-01-31,10.3,22.0,39.7,43.0,32.7
2024-02-01,10.4,23.0,34.5,39.0,29.5
2024-02-02,10.6,24.0,26.8,31.6,22.3
2024-02-03,10.6,23.0,20.5,23.7,16.2
2024-02-04,10.7,24.0,21.4,29.5,7.5
2024-02-05,11.0,27.0,30.6,34.9,28.8
2024-02-06,11.2,29.0,29.7,33.3,27.1
2024-02-07,11.2,28.0,23.5,29.8,17.1
2024-02-08,11.2,28.0,22.1,28.4,17.1
2024-02-09,11.2,28.0,17.1,23.2,8.4
2024-02-10,11.2,28.0,13.6,25.5,5.4
2024-02-11,11.3,28.0,19.2,30.9,7.9
2024-02-12,11.3,27.0,26.2,30.2,19.2
2024-02-13,11.3,27.0,27.7,32.4,22.6
2024-02-14,11.4,28.0,26.2,31.8,18.7
2024-02-15,11.9,30.0,27.5,29.5,25.9
2024-02-16,11.9,30.0,22.8,30.6,6.4
2024-02-17,11.9,30.0,21.2,28.9,10.0
2024-02-18,12.1,31.0,28.2,31.1,21.7
2024-02-19,12.6,34.0,28.9,32.9,20.5
2024-02-20,12.6,34.0,30.4,36.7,24.6
2024-02-21,12.7,34.0,27.7,33.4,21.6
2024-02-22,12.7,34.0,24.1,35.6,15.4
2024-02-23,12.7,34.0,24.6,38.3,14.2
2024-02-24,12.7,33.0,31.3,36.1,25.2
2024-02-25,12.7,33.0,33.8,39.2,27.7
2024-02-26,13.2,38.0,25.9,32.0,12.0
2024-02-27,13.4,38.0,12.9,16.2,7.5
2024-02-28,13.4,37.0,27.3,34.5,16.9
2024-02-29,13.4,36.0,35.2,39.6,31.6
2024-03-01,14.1,40.0,30.9,34.7,27.9
2024-03-02,14.8,44.0,19.4,29.5,11.5
2024-03-03,15.0,44.0,14.4,16.5,10.0
2024-03-04,15.3,45.0,15.1,18.3,11.8
2024-03-05,15.5,44.0,24.8,28.2,17.8
2024-03-06,15.7,43.0,27.3,30.2,23.9
2024-03-07,15.8,43.0,18.3,27.7,4.5
2024-03-08,15.8,43.0,16.9,29.7,3.6
2024-03-09,15.8,42.0,28.6,38.8,16.9
2024-03-10,15.8,41.0,32.7,38.1,29.1
2024-03-11,15.9,41.0,31.6,35.4,26.4
2024-03-12,16.2,42.0,28.9,34.3,24.1
2024-03-13,16.2,42.0,19.9,26.6,15.3
2024-03-14,16.2,42.0,23.4,30.2,16.7
2024-03-15,16.2,41.0,26.4,36.3,14.9
2024-03-16,16.2,40.0,30.7,41.9,20.1
2024-03-17,16.2,39.0,33.8,43.7,23.9
2024-03-18,16.2,37.0,37.6,54.5,25.7
2024-03-19,16.2,36.0,39.2,49.5,28.6
2024-03-20,16.2,34.0,41.0,51.4,32.7
2024-03-21,16.2,33.0,37.0,43.9,30.6
2024-03-22,16.2,32.0,39.7,47.7,31.1
2024-03-23,16.2,32.0,32.0,38.3,25.3
2024-03-24,16.2,32.0,28.2,35.1,22.6
2024-03-25,16.2,32.0,26.4,33.3,21.9
2024-03-26,16.2,32.0,26.1,32.2,20.3
2024-03-27,16.2,31.0,31.8,39.0,21.6
2024-03-28,16.4,32.0,29.3,35.4,20.3
2024-03-29,16.6,34.0,28.9,37.4,18.0
2024-03-30,16.6,32.0,30.4,37.0,20.8
2024-03-31,16.8,35.0,28.8,33.6,24.8
2024-04-01,16.8,33.0,31.5,42.1,18.0
2024-04-02,16.8,32.0,40.5,50.5,30.2
2024-04-03,16.8,29.0,44.6,52.3,39.2
2024-04-04,16.8,27.0,41.4,47.7,30.2
2024-04-05,16.8,27.0,23.4,28.9,17.2
2024-04-06,16.9,27.0,21.7,26.6,17.4
2024-04-07,16.9,27.0,25.2,34.0,19.6
2024-04-08,16.9,27.0,27.5,37.6,17.2
2024-04-09,16.9,26.0,36.5,45.9,21.4
2024-04-10,16.9,24.0,40.1,50.5,28.2
2024-04-11,16.9,22.0,45.3,55.0,32.9
2024-04-12,16.9,21.0,50.4,60.1,40.8
2024-04-13,16.9,18.0,50.0,59.0,40.6
2024-04-14,16.9,17.0,38.7,45.0,27.7
2024-04-15,16.9,16.0,36.3,43.3,30.0
2024-04-16,16.9,15.0,40.5,49.1,29.5
2024-04-17,16.9,14.0,30.0,40.6,17.2
2024-04-18,16.9,13.0,30.2,45.5,14.7
2024-04-19,16.9,11.0,37.6,51.1,21.2
2024-04-20,16.9,10.0,44.2,54.5,31.3
2024-04-21,16.9,8.0,47.1,61.0,32.7
2024-04-22,16.9,5.0,42.8,60.4,27.7
2024-04-23,16.9,3.0,45.3,56.8,30.7
2024-04-24,16.9,0.0,46.6,57.2,36.7
2024-04-25,17.3,0.0,37.9,46.0,34.0
2024-04-26,17.5,0.0,36.3,45.0,31.3
