date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
2023-10-01,0.4,0.0,34.7,37.8,33.1
2023-10-02,0.5,0.0,36.7,40.8,33.4
2023-10-03,0.6,0.0,41.7,46.0,37.9
2023-10-04,0.6,0.0,45.5,53.8,38.7
2023-10-05,0.6,0.0,50.2,57.9,43.7
2023-10-06,0.6,0.0,54.0,61.9,48.0
2023-10-07,0.6,0.0,55.2,66.2,47.3
2023-10-08,0.6,0.0,58.8,66.0,52.5
2023-10-09,0.6,0.0,55.2,64.9,45.5
2023-10-10,0.6,0.0,44.1,51.3,39.6
2023-10-11,0.9,0.0,35.6,39.9,32.0
2023-10-12,0.9,0.0,34.9,42.8,32.2
2023-10-13,0.9,0.0,42.8,49.5,32.9
2023-10-14,0.9,0.0,48.2,55.0,43.9
2023-10-15,0.9,0.0,54.7,62.6,45.3
2023-10-16,0.9,0.0,56.5,64.8,49.5
2023-10-17,0.9,0.0,51.1,59.5,44.4
2023-10-18,0.9,0.0,53.6,61.9,45.3
2023-10-19,0.9,0.0,57.0,66.2,51.6
2023-10-20,0.9,0.0,56.7,65.8,51.6
2023-10-21,0.9,0.0,54.5,63.7,49.1
2023-10-22,0.9,0.0,51.4,58.5,42.8
2023-10-23,0.9,0.0,42.6,51.1,38.8
2023-10-24,1.0,0.0,43.7,51.1,35.4
2023-10-25,1.1,1.0,38.3,46.6,25.9
2023-10-26,1.1,1.0,26.4,33.8,19.8
2023-10-27,1.1,1.0,30.4,39.0,25.3
2023-10-28,1.1,1.0,21.6,26.6,18.3
2023-10-29,1.1,1.0,25.7,34.0,19.8
2023-10-30,1.2,1.0,34.0,43.9,25.5
2023-10-31,1.2,1.0,42.3,51.1,33.4
2023-11-01,1.2,1.0,43.5,50.7,37.2
2023-11-02,1.3,0.0,45.3,52.2,41.9
2023-11-03,1.3,0.0,45.7,51.8,40.8
2023-11-04,1.3,0.0,49.3,55.2,44.1
2023-11-05,1.3,0.0,44.1,47.8,41.5
2023-11-06,1.3,0.0,40.1,45.5,33.3
2023-11-07,1.3,0.0,31.6,37.4,27.5
2023-11-08,1.3,0.0,28.2,35.4,23.7
2023-11-09,1.3,0.0,34.5,42.1,26.2
2023-11-10,1.3,0.0,35.4,41.5,31.1
2023-11-11,1.3,0.0,37.9,44.2,32.5
2023-11-12,1.3,0.0,44.6,52.0,39.0
2023-11-13,1.3,0.0,43.5,50.4,40.5
2023-11-14,1.3,0.0,42.6,48.6,37.8
2023-11-15,1.3,0.0,44.6,51.6,39.9
2023-11-16,1.6,1.0,36.1,40.1,33.8
2023-11-17,1.6,1.0,38.8,48.2,34.2
2023-11-18,1.8,2.0,37.8,43.0,33.6
2023-11-19,2.0,4.0,26.6,34.7,18.5
2023-11-20,2.1,4.0,24.1,30.7,17.2
2023-11-21,2.1,4.0,40.5,50.4,32.5
2023-11-22,2.1,4.0,39.0,47.5,32.7
2023-11-23,2.5,9.0,26.1,33.6,19.4
2023-11-24,2.5,8.0,20.1,22.8,18.1
2023-11-25,2.5,8.0,19.8,27.9,14.2
2023-11-26,2.5,8.0,20.8,30.6,14.0
2023-11-27,2.5,8.0,32.7,41.2,23.7
2023-11-28,2.5,7.0,35.4,43.2,29.3
2023-11-29,2.5,7.0,30.2,36.5,25.2
2023-11-30,2.7,9.0,28.2,32.4,24.6
2023-12-01,2.8,10.0,23.9,26.4,18.9
2023-12-02,3.4,13.0,29.3,31.8,26.4
2023-12-03,3.7,14.0,34.5,36.7,31.1
2023-12-04,3.7,14.0,37.0,40.3,32.4
2023-12-05,3.7,13.0,43.0,47.8,39.2
2023-12-06,3.9,14.0,41.0,46.8,32.4
2023-12-07,4.1,17.0,27.7,31.8,24.3
2023-12-08,4.1,17.0,18.1,24.1,13.3
2023-12-09,4.1,16.0,21.6,29.1,12.0
2023-12-10,4.1,16.0,35.1,41.0,29.7
2023-12-11,4.2,16.0,32.7,40.8,28.8
2023-12-12,4.2,15.0,27.0,30.6,23.9
2023-12-13,4.2,15.0,25.2,34.3,20.5
2023-12-14,4.2,15.0,31.8,37.6,23.2
2023-12-15,4.2,15.0,37.4,46.0,31.6
2023-12-16,4.2,15.0,37.9,43.5,33.6
2023-12-17,4.3,15.0,41.7,48.7,34.2
2023-12-18,4.3,15.0,41.2,44.6,39.0
2023-12-19,4.3,15.0,39.2,43.3,36.5
