date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
2023-10-01,0.2,0.0,,,
2023-10-02,0.4,0.0,,,
2023-10-03,0.4,0.0,,,
2023-10-04,0.4,0.0,,,
2023-10-05,0.4,0.0,,,
2023-10-06,0.4,0.0,,,
2023-10-07,0.4,0.0,,,
2023-10-08,0.4,0.0,,,
2023-10-09,0.5,0.0,,,
2023-10-10,0.5,0.0,,,
2023-10-11,0.5,0.0,,,
2023-10-12,0.5,0.0,,,
2023-10-13,0.5,0.0,,,
2023-10-14,0.5,0.0,,,
2023-10-15,0.5,0.0,,,
2023-10-16,0.5,0.0,59.7,67.6,52.9
2023-10-17,0.5,0.0,55.0,64.0,48.6
2023-10-18,0.5,0.0,56.1,66.6,48.6
2023-10-19,0.5,0.0,58.6,68.4,46.0
2023-10-20,0.5,0.0,59.5,68.2,52.7
2023-10-21,0.5,0.0,56.1,65.1,50.9
2023-10-22,0.6,0.0,53.6,62.2,41.0
2023-10-23,0.6,0.0,43.7,51.8,39.2
2023-10-24,0.6,0.0,44.6,50.5,37.6
2023-10-25,0.6,0.0,39.6,46.4,25.7
2023-10-26,0.6,0.0,26.8,33.6,22.1
2023-10-27,0.6,0.0,30.4,40.8,23.7
2023-10-28,0.6,0.0,22.1,28.9,15.8
2023-10-29,0.6,0.0,26.2,35.6,16.9
2023-10-30,0.6,0.0,34.2,44.4,23.7
2023-10-31,0.6,0.0,41.0,50.7,26.2
2023-11-01,0.6,0.0,44.2,52.2,38.1
2023-11-02,0.7,0.0,45.9,52.9,41.0
2023-11-03,0.7,0.0,46.4,55.0,39.6
2023-11-04,0.7,0.0,49.3,54.9,42.1
2023-11-05,0.7,0.0,45.5,50.2,42.6
2023-11-06,0.7,0.0,42.4,49.8,35.8
2023-11-07,0.7,0.0,30.9,34.9,26.2
2023-11-08,0.7,0.0,28.9,38.5,23.2
2023-11-09,0.7,0.0,33.3,42.8,20.7
2023-11-10,0.7,0.0,35.8,42.8,31.3
2023-11-11,0.7,0.0,37.2,43.7,32.2
2023-11-12,0.7,0.0,44.1,51.4,36.7
