date,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2023-10-01,0.0,43.0,52.5,36.5,0.0
2023-10-02,0.0,41.4,43.2,39.4,0.0
2023-10-03,0.0,41.5,45.7,38.3,0.0
2023-10-04,0.0,43.5,47.1,41.0,0.0
2023-10-05,0.0,50.5,61.5,40.8,0.0
2023-10-06,0.0,55.6,65.1,48.0,0.0
2023-10-07,0.0,57.9,67.3,50.2,0.0
2023-10-08,0.0,56.3,64.4,51.8,0.0
2023-10-09,0.0,48.0,54.7,39.7,0.0
2023-10-10,0.0,37.2,39.9,36.0,0.0
2023-10-11,0.0,37.4,43.5,33.8,0.0
2023-10-12,0.0,43.0,52.7,34.7,0.0
2023-10-13,0.0,43.0,51.3,39.6,0.0
2023-10-14,0.0,40.1,44.8,37.4,0.0
2023-10-15,0.0,42.3,47.5,37.8,0.0
2023-10-16,0.0,42.3,50.2,32.9,0.0
2023-10-17,0.0,36.0,42.1,32.2,0.0
2023-10-18,0.0,46.2,52.0,40.5,0.0
2023-10-19,0.0,49.3,53.4,46.6,0.0
2023-10-20,0.0,45.1,51.4,42.6,0.0
2023-10-21,0.0,48.0,53.4,42.1,0.0
2023-10-22,0.0,41.0,49.6,35.4,0.0
2023-10-23,0.0,31.6,37.8,26.1,0.0
2023-10-24,10.0,26.6,30.9,24.8,0.6
2023-10-25,8.0,22.5,25.9,19.2,0.5
2023-10-26,5.0,20.3,29.5,16.7,0.5
2023-10-27,5.0,19.4,27.5,14.7,0.5
2023-10-28,4.0,29.7,37.4,19.9,0.8
2023-10-29,4.0,38.8,46.4,34.3,0.9
2023-10-30,4.0,45.0,52.7,38.5,1.0
2023-10-31,3.0,45.1,52.2,40.1,1.0
2023-11-01,2.0,41.7,47.3,38.3,1.0
2023-11-02,0.0,41.0,45.1,36.3,0.1
2023-11-03,0.0,37.2,42.6,34.5,0.0
2023-11-04,0.0,39.6,43.3,34.2,0.0
2023-11-05,1.0,33.4,35.1,32.2,0.3
2023-11-06,3.0,33.3,36.3,32.2,0.5
2023-11-07,5.0,29.8,33.1,26.6,0.6
2023-11-08,5.0,29.7,35.6,26.6,0.6
2023-11-09,5.0,32.2,37.2,28.6,0.8
2023-11-10,10.0,28.9,30.4,27.5,1.3
2023-11-11,27.0,29.7,32.7,27.3,3.6
2023-11-12,25.0,29.3,32.2,26.1,3.8
2023-11-13,28.0,27.5,32.5,22.6,4.0
2023-11-14,25.0,25.7,31.3,20.8,4.0
2023-11-15,25.0,27.0,30.4,21.4,3.9
2023-11-16,23.0,30.9,42.6,19.8,4.0
2023-11-17,21.0,42.4,50.4,36.5,4.1
2023-11-18,20.0,40.1,46.6,35.2,4.1
2023-11-19,24.0,27.1,35.1,23.5,4.5
2023-11-20,22.0,34.2,46.2,22.5,4.7
2023-11-21,24.0,42.4,49.3,31.3,4.8
2023-11-22,24.0,29.7,34.0,25.0,4.8
2023-11-23,22.0,23.2,28.8,20.3,4.7
2023-11-24,22.0,25.3,30.4,21.0,4.7
2023-11-25,22.0,34.3,39.4,30.0,4.8
2023-11-26,21.0,38.3,44.2,32.7,4.8
2023-11-27,20.0,40.6,46.8,36.3,4.8
2023-11-28,20.0,38.7,43.3,31.6,4.7
2023-11-29,20.0,28.6,34.0,24.6,4.7
2023-11-30,19.0,25.0,27.9,23.5,4.8
2023-12-01,24.0,24.1,25.9,22.8,5.1
