date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
2023-10-01,0.5,0.0,37.6,41.9,35.4
2023-10-02,0.5,0.0,39.7,44.1,35.6
2023-10-03,0.6,0.0,44.2,48.6,39.4
2023-10-04,0.6,0.0,49.1,57.6,42.3
2023-10-05,0.6,0.0,55.4,64.2,47.1
2023-10-06,0.6,0.0,56.3,67.3,44.8
2023-10-07,0.6,0.0,55.4,68.4,45.5
2023-10-08,0.6,0.0,56.5,69.3,47.1
2023-10-09,0.6,0.0,55.8,67.1,42.3
2023-10-10,0.6,0.0,47.8,57.2,41.0
2023-10-11,1.1,0.0,38.5,44.4,34.3
2023-10-12,1.1,0.0,36.3,44.6,31.5
2023-10-13,1.1,0.0,42.1,52.3,29.8
2023-10-14,1.1,0.0,47.8,57.4,41.2
2023-10-15,1.1,0.0,52.3,64.4,41.7
2023-10-16,1.1,0.0,56.1,67.5,44.1
2023-10-17,1.1,0.0,55.6,63.7,48.9
2023-10-18,1.1,0.0,54.3,66.6,44.1
2023-10-19,1.1,0.0,55.4,68.5,45.7
2023-10-20,1.1,0.0,57.2,68.7,44.8
2023-10-21,1.1,0.0,55.2,66.9,44.4
2023-10-22,1.1,0.0,53.6,62.4,46.2
2023-10-23,1.1,0.0,46.6,54.5,41.9
2023-10-24,1.1,0.0,46.2,54.0,35.4
2023-10-25,1.2,0.0,41.5,49.8,29.1
2023-10-26,1.2,0.0,28.6,37.2,22.5
2023-10-27,1.2,0.0,32.4,44.6,22.5
2023-10-28,1.2,0.0,25.7,30.9,22.1
2023-10-29,1.2,0.0,28.6,38.7,21.4
2023-10-30,1.2,0.0,33.1,46.4,17.2
2023-10-31,1.2,0.0,39.4,52.2,28.9
2023-11-01,1.3,0.0,40.1,51.8,28.6
2023-11-02,1.3,0.0,47.5,57.0,34.2
2023-11-03,1.3,0.0,48.2,57.9,40.8
2023-11-04,1.4,0.0,50.2,59.4,39.9
2023-11-05,1.4,0.0,48.6,51.8,42.3
