date,PREC_DAILY,SNWD_DAILY,TMIN_DAILY,WTEQ_DAILY
2023-10-01,0.1,0.0,29.8,0.0
2023-10-02,0.3,1.0,27.7,0.2
2023-10-03,0.5,1.0,34.5,0.1
2023-10-04,0.6,0.0,35.8,0.0
2023-10-05,0.6,0.0,32.9,0.0
2023-10-06,0.6,0.0,30.2,0.0
2023-10-07,0.6,0.0,27.5,0.0
2023-10-08,0.6,0.0,28.0,0.0
2023-10-09,0.6,0.0,28.4,0.0
2023-10-10,0.6,0.0,29.1,0.0
2023-10-11,0.8,1.0,34.5,0.2
2023-10-12,0.9,0.0,32.7,0.0
2023-10-13,0.9,0.0,32.4,0.0
2023-10-14,0.9,0.0,28.9,0.0
2023-10-15,0.9,0.0,27.5,0.0
2023-10-16,0.9,0.0,28.9,0.0
2023-10-17,0.9,0.0,30.6,0.0
2023-10-18,0.9,0.0,27.3,0.0
2023-10-19,0.9,0.0,27.7,0.0
2023-10-20,0.9,0.0,30.0,0.0
2023-10-21,0.9,0.0,28.4,0.0
2023-10-22,0.9,0.0,28.0,0.0
2023-10-23,1.4,1.0,33.6,0.2
2023-10-24,1.4,0.0,31.6,0.0
2023-10-25,2.2,5.0,25.9,0.9
2023-10-26,2.4,6.0,16.2,1.0
2023-10-27,2.4,6.0,14.5,1.0
2023-10-28,2.4,6.0,3.2,1.0
2023-10-29,2.4,6.0,1.4,1.0
2023-10-30,2.4,6.0,-3.1,1.0
2023-10-31,2.5,6.0,3.6,1.1
2023-11-01,2.5,6.0,14.2,1.2
2023-11-02,2.7,7.0,25.9,1.3
2023-11-03,2.7,6.0,34.0,1.3
2023-11-04,2.8,5.0,32.9,1.4
2023-11-05,3.4,5.0,33.8,1.6
2023-11-06,3.6,4.0,32.5,1.7
2023-11-07,3.6,4.0,25.7,1.6
2023-11-08,3.6,4.0,21.4,1.6
2023-11-09,3.6,6.0,12.7,1.7
2023-11-10,3.6,6.0,11.8,1.7
2023-11-11,3.6,6.0,20.8,1.7
2023-11-12,3.6,6.0,16.9,1.7
2023-11-13,3.6,6.0,19.4,1.7
2023-11-14,3.6,6.0,22.3,1.6
2023-11-15,3.6,6.0,24.6,1.6
2023-11-16,3.6,6.0,25.0,1.6
2023-11-17,3.6,6.0,20.7,1.6
2023-11-18,3.6,6.0,15.4,1.6
2023-11-19,3.6,6.0,25.5,1.6
2023-11-20,3.6,6.0,8.2,1.6
2023-11-21,3.6,6.0,7.3,1.6
2023-11-22,3.7,7.0,12.4,1.7
2023-11-23,3.7,7.0,16.9,1.7
2023-11-24,3.7,7.0,-1.1,1.6
2023-11-25,3.7,7.0,-1.8,1.6
2023-11-26,3.7,7.0,5.4,1.6
2023-11-27,3.7,7.0,2.8,1.6
2023-11-28,3.8,6.0,-2.7,1.7
2023-11-29,3.9,6.0,-1.7,1.8
2023-11-30,3.9,5.0,5.7,1.8
2023-12-01,4.1,8.0,12.2,1.9
2023-12-02,4.4,12.0,11.5,2.2
2023-12-03,4.6,11.0,2.7,2.3
2023-12-04,4.7,12.0,28.9,2.4
2023-12-05,4.7,12.0,29.5,2.4
2023-12-06,4.7,12.0,20.8,2.4
