date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
2023-10-01,0.2,0.0,39.9,41.7,38.3
2023-10-02,0.2,0.0,40.1,44.1,37.2
2023-10-03,0.3,0.0,44.6,48.0,40.3
2023-10-04,0.3,0.0,46.8,59.0,39.4
2023-10-05,0.3,0.0,51.3,66.0,40.5
2023-10-06,0.4,0.0,54.7,70.5,42.6
2023-10-07,0.4,0.0,54.5,71.4,41.4
2023-10-08,0.4,0.0,55.8,73.2,43.2
2023-10-09,0.4,0.0,55.8,69.8,43.7
2023-10-10,0.4,0.0,46.4,56.1,36.7
2023-10-11,0.7,0.0,38.8,45.0,35.1
2023-10-12,0.9,0.0,37.6,46.4,31.6
2023-10-13,0.9,0.0,41.4,53.4,30.4
2023-10-14,0.9,0.0,47.5,59.9,39.4
2023-10-15,0.9,0.0,52.2,67.3,40.5
2023-10-16,0.9,0.0,55.0,71.6,43.7
2023-10-17,0.9,0.0,49.8,63.5,38.7
2023-10-18,0.9,0.0,52.2,68.5,39.0
2023-10-19,0.9,0.0,54.9,73.8,42.3
2023-10-20,0.9,0.0,54.3,71.8,43.0
2023-10-21,0.9,0.0,53.1,69.8,41.9
2023-10-22,0.9,0.0,53.2,64.6,43.7
2023-10-23,1.0,0.0,44.1,54.1,37.4
2023-10-24,1.0,0.0,44.4,56.7,31.1
2023-10-25,1.3,2.0,40.8,48.2,28.6
2023-10-26,1.4,0.0,27.7,36.5,21.4
2023-10-27,1.4,0.0,30.0,43.0,19.2
2023-10-28,1.4,0.0,26.1,33.4,16.5
2023-10-29,1.4,0.0,26.1,40.8,14.9
2023-10-30,1.4,0.0,31.8,49.6,18.5
2023-10-31,1.4,0.0,38.5,56.3,27.0
2023-11-01,1.4,0.0,41.0,55.6,31.5
2023-11-02,1.4,0.0,44.6,57.0,35.1
2023-11-03,1.5,0.0,45.3,56.8,36.5
2023-11-04,1.5,0.0,47.5,56.8,36.0
2023-11-05,1.6,0.0,46.9,49.8,41.5
2023-11-06,1.6,0.0,42.6,51.8,35.1
2023-11-07,1.8,1.0,35.1,39.9,31.8
2023-11-08,1.8,0.0,29.8,40.3,20.1
2023-11-09,1.8,0.0,31.1,48.0,18.5
2023-11-10,1.8,0.0,34.3,43.9,27.5
2023-11-11,1.8,0.0,36.5,49.3,28.0
2023-11-12,1.8,0.0,41.4,56.8,30.0
2023-11-13,1.8,0.0,40.3,54.3,32.9
2023-11-14,1.8,0.0,39.4,54.0,30.0
2023-11-15,1.8,0.0,42.6,55.4,34.5
2023-11-16,2.1,1.0,36.5,42.8,31.1
2023-11-17,2.1,0.0,37.2,49.8,29.3
2023-11-18,2.4,0.0,40.5,47.5,35.1
2023-11-19,3.0,2.0,30.4,35.8,21.9
2023-11-20,3.0,2.0,23.0,37.0,13.5
2023-11-21,3.0,1.0,32.5,51.1,21.0
2023-11-22,3.0,1.0,35.2,51.3,26.4
2023-11-23,3.2,3.0,29.8,32.9,25.3
2023-11-24,3.2,2.0,24.1,27.3,21.9
2023-11-25,3.2,2.0,19.4,30.9,10.0
2023-11-26,3.2,2.0,20.7,37.2,10.9
2023-11-27,3.2,1.0,27.3,45.0,15.4
2023-11-28,3.2,1.0,31.6,49.8,22.8
2023-11-29,3.2,1.0,29.3,43.0,20.8
2023-11-30,3.4,4.0,29.8,36.0,25.0
2023-12-01,4.1,10.0,27.9,30.4,24.8
2023-12-02,5.2,17.0,32.0,36.1,28.4
2023-12-03,6.5,15.0,36.3,38.7,33.4
2023-12-04,6.6,14.0,36.1,45.9,31.1
2023-12-05,6.6,13.0,38.8,54.1,31.3
2023-12-06,6.7,13.0,40.3,50.7,33.1
2023-12-07,7.0,13.0,31.8,37.0,27.3
2023-12-08,7.2,13.0,23.0,27.1,15.6
2023-12-09,7.2,13.0,19.6,31.6,8.1
2023-12-10,7.2,13.0,32.9,43.2,23.7
2023-12-11,7.2,12.0,34.5,44.4,26.1
2023-12-12,7.2,12.0,30.6,38.7,26.2
2023-12-13,7.2,12.0,25.7,36.0,19.2
2023-12-14,7.2,12.0,27.5,42.1,18.7
2023-12-15,7.2,12.0,31.1,46.0,21.9
2023-12-16,7.2,12.0,33.6,50.4,26.2
2023-12-17,7.2,12.0,38.1,57.0,26.1
2023-12-18,7.2,12.0,38.5,46.9,32.7
2023-12-19,7.2,12.0,38.5,47.5,32.9
2023-12-20,7.2,12.0,36.7,48.9,31.1
2023-12-21,7.2,12.0,36.3,50.0,30.6
2023-12-22,7.3,11.0,38.1,51.8,30.6
2023-12-23,7.3,11.0,21.6,28.6,9.3
2023-12-24,7.3,11.0,19.0,30.7,6.4
2023-12-25,7.3,11.0,26.6,39.6,21.4
2023-12-26,7.4,12.0,31.5,43.2,25.5
2023-12-27,7.4,12.0,32.7,41.4,23.7
2023-12-28,7.4,12.0,36.5,51.4,30.4
2023-12-29,7.4,11.0,38.3,51.4,30.4
2023-12-30,7.4,11.0,36.9,49.5,26.8
2023-12-31,7.4,11.0,31.5,47.7,23.4
2024-01-01,7.4,11.0,31.1,55.8,23.4
2024-01-02,7.4,11.0,30.9,43.9,22.1
2024-01-03,7.5,12.0,31.6,34.9,27.3
2024-01-04,7.6,12.0,28.2,30.6,26.6
2024-01-05,8.0,15.0,23.5,31.6,12.9
2024-01-06,8.5,23.0,23.2,28.2,17.4
2024-01-07,8.8,23.0,19.4,23.4,17.2
2024-01-08,8.8,21.0,18.1,22.5,10.4
2024-01-09,9.0,22.0,26.4,33.4,21.9
2024-01-10,9.2,23.0,21.6,26.4,17.6
2024-01-11,9.2,23.0,18.9,20.8,15.1
2024-01-12,9.5,24.0,25.9,27.9,19.9
2024-01-13,11.2,37.0,30.0,34.9,25.7
2024-01-14,11.7,38.0,32.7,34.5,29.7
2024-01-15,11.7,36.0,22.3,30.0,13.1
2024-01-16,12.2,39.0,26.2,36.7,11.5
2024-01-17,12.8,43.0,33.8,36.0,32.0
2024-01-18,12.8,42.0,33.6,38.1,28.2
2024-01-19,12.8,40.0,39.2,48.6,34.7
2024-01-20,12.8,39.0,36.7,43.2,32.7
2024-01-21,12.9,38.0,36.0,42.8,30.9
2024-01-22,13.3,40.0,34.3,37.8,30.7
2024-01-23,13.3,38.0,34.0,41.2,27.7
2024-01-24,13.6,42.0,31.8,35.4,24.4
2024-01-25,14.0,44.0,29.7,33.3,17.6
2024-01-26,14.0,43.0,28.4,40.5,16.7
2024-01-27,14.1,40.0,38.3,48.9,33.1
2024-01-28,14.1,38.0,40.1,50.9,34.5
2024-01-29,14.1,37.0,40.6,56.7,33.1
2024-01-30,14.1,35.0,40.8,59.5,32.4
2024-01-31,14.1,34.0,41.5,51.1,32.0
2024-02-01,14.4,36.0,37.4,42.3,32.0
2024-02-02,14.6,36.0,31.3,37.4,24.1
2024-02-03,14.9,39.0,25.9,30.4,14.7
2024-02-04,14.9,38.0,26.4,36.0,10.6
2024-02-05,14.9,35.0,36.3,45.5,32.0
2024-02-06,15.2,36.0,34.3,39.4,30.9
2024-02-07,15.3,36.0,29.7,33.1,26.6
2024-02-08,15.3,36.0,28.2,34.3,22.5
2024-02-09,15.6,40.0,24.3,28.6,18.0
2024-02-10,15.6,38.0,15.8,27.3,9.0
2024-02-11,15.6,37.0,20.7,37.2,9.0
2024-02-12,15.6,36.0,27.5,39.0,15.6
2024-02-13,15.6,35.0,32.5,40.6,25.0
2024-02-14,15.7,36.0,30.9,35.1,23.0
2024-02-15,16.4,41.0,32.5,36.1,29.8
2024-02-16,16.9,43.0,30.2,35.8,17.8
2024-02-17,17.0,43.0,28.9,40.3,13.8
2024-02-18,17.2,44.0,33.1,42.8,25.5
2024-02-19,17.3,44.0,34.0,42.4,28.0
2024-02-20,17.3,42.0,35.2,47.7,24.3
2024-02-21,17.5,43.0,31.3,37.6,21.2
2024-02-22,17.5,42.0,29.5,46.8,20.1
2024-02-23,17.5,41.0,31.5,46.4,19.4
2024-02-24,17.5,41.0,33.4,47.5,22.1
2024-02-25,17.5,40.0,36.9,46.0,25.2
2024-02-26,18.0,45.0,30.9,38.7,21.2
2024-02-27,18.0,43.0,20.5,28.2,12.9
2024-02-28,18.0,42.0,31.6,43.0,18.7
2024-02-29,18.0,41.0,39.2,45.5,32.0
2024-03-01,18.8,48.0,34.0,37.8,31.6
2024-03-02,19.2,50.0,25.0,32.2,17.2
2024-03-03,19.5,52.0,21.7,26.4,17.6
2024-03-04,19.6,52.0,22.3,29.5,15.1
2024-03-05,19.7,52.0,31.3,35.6,23.4
2024-03-06,19.9,54.0,33.3,36.5,30.4
2024-03-07,20.0,51.0,24.6,31.6,11.8
2024-03-08,20.0,50.0,20.7,36.0,6.4
2024-03-09,20.0,50.0,30.7,43.3,17.8
2024-03-10,20.0,49.0,35.6,45.1,25.2
2024-03-11,20.1,48.0,36.0,41.5,31.3
2024-03-12,20.6,50.0,33.4,39.2,27.7
2024-03-13,20.7,51.0,27.3,31.1,22.3
2024-03-14,20.7,50.0,28.8,38.8,15.6
2024-03-15,20.7,48.0,34.9,43.0,26.2
2024-03-16,20.7,47.0,37.8,47.8,27.7
2024-03-17,20.7,46.0,40.1,51.8,32.0
2024-03-18,20.7,44.0,41.9,53.4,33.1
2024-03-19,20.7,43.0,43.5,61.9,32.2
2024-03-20,20.7,41.0,44.8,57.6,33.4
2024-03-21,20.7,40.0,42.1,51.3,33.1
2024-03-22,20.7,39.0,41.9,54.7,31.1
2024-03-23,20.8,39.0,34.2,42.1,26.8
2024-03-24,20.8,39.0,32.7,39.6,25.5
2024-03-25,21.1,40.0,32.0,38.3,28.6
2024-03-26,21.3,40.0,31.1,38.3,22.5
2024-03-27,21.3,40.0,35.1,42.4,22.1
2024-03-28,21.4,40.0,34.2,39.6,25.3
2024-03-29,21.4,40.0,35.2,44.2,24.8
2024-03-30,21.5,39.0,37.8,45.9,32.0
2024-03-31,21.6,39.0,36.0,43.2,29.3
2024-04-01,21.6,38.0,36.9,47.7,21.7
2024-04-02,21.6,36.0,43.7,59.5,31.1
2024-04-03,21.6,35.0,45.7,56.7,36.1
2024-04-04,21.6,34.0,39.2,52.9,28.9
2024-04-05,21.7,30.0,27.7,33.8,23.5
2024-04-06,22.2,36.0,27.3,30.9,24.4
2024-04-07,22.2,34.0,30.0,38.1,23.4
2024-04-08,22.2,33.0,32.2,41.4,21.7
2024-04-09,22.2,30.0,39.6,49.8,26.8
2024-04-10,22.2,28.0,43.3,55.0,31.5
2024-04-11,22.2,25.0,46.9,59.7,34.2
2024-04-12,22.2,23.0,48.4,61.3,38.3
2024-04-13,22.2,20.0,50.0,64.0,38.1
2024-04-14,22.2,18.0,41.2,48.9,30.6
2024-04-15,22.2,18.0,36.1,43.5,26.8
2024-04-16,22.2,16.0,42.8,52.5,31.1
2024-04-17,22.3,14.0,36.0,42.6,27.1
2024-04-18,22.3,11.0,36.9,50.4,20.3
2024-04-19,22.3,11.0,43.3,54.9,31.1
2024-04-20,22.3,9.0,47.3,62.8,34.9
2024-04-21,22.3,5.0,48.6,61.3,37.2
2024-04-22,22.4,2.0,46.4,59.7,32.2
2024-04-23,22.5,0.0,48.0,59.4,36.3
2024-04-24,22.7,0.0,46.0,57.2,38.5
2024-04-25,23.4,0.0,41.2,47.5,35.1
2024-04-26,23.8,0.0,39.9,46.4,34.9
2024-04-27,23.8,0.0,40.8,49.8,35.1
2024-04-28,23.8,0.0,43.2,52.2,34.5
2024-04-29,23.8,0.0,41.0,49.3,28.8
2024-04-30,23.8,0.0,37.2,49.5,23.0
2024-05-01,23.8,0.0,33.6,43.5,26.4
2024-05-02,24.2,0.0,37.4,46.0,27.5
2024-05-03,24.2,0.0,39.7,52.5,30.6
2024-05-04,24.4,3.0,45.5,59.0,30.9
2024-05-05,24.9,2.0,31.3,36.3,27.3
2024-05-06,25.5,3.0,35.1,40.8,30.0
2024-05-07,25.8,3.0,31.8,36.5,28.9
2024-05-08,25.8,2.0,36.0,42.3,27.7
2024-05-09,25.8,0.0,44.4,54.9,32.7
2024-05-10,25.8,0.0,47.5,59.0,34.2
2024-05-11,26.2,0.0,51.4,63.1,37.8
2024-05-12,26.4,0.0,54.0,67.1,39.2
2024-05-13,26.5,0.0,53.6,66.6,42.3
2024-05-14,26.5,0.0,51.4,63.0,38.7
2024-05-15,26.5,0.0,51.8,63.3,40.1
2024-05-16,26.5,0.0,55.4,68.7,39.9
2024-05-17,26.5,0.0,50.7,62.4,37.6
2024-05-18,26.5,0.0,54.3,67.1,35.1
2024-05-19,26.6,0.0,45.0,53.2,37.6
2024-05-20,26.6,0.0,41.4,48.2,33.1
2024-05-21,26.6,0.0,43.9,55.8,29.7
2024-05-22,26.6,0.0,44.2,55.8,32.0
2024-05-23,26.6,0.0,38.5,50.4,31.5
2024-05-24,26.6,0.0,47.8,59.4,30.9
2024-05-25,26.8,0.0,45.7,54.5,37.6
2024-05-26,26.8,0.0,49.3,62.6,33.1
2024-05-27,26.8,0.0,56.3,70.7,39.2
2024-05-28,26.8,0.0,60.8,72.9,45.3
2024-05-29,26.8,0.0,48.4,57.2,37.0
2024-05-30,26.8,0.0,47.7,59.2,34.0
2024-05-31,26.8,0.0,52.9,67.3,35.4
2024-06-01,26.8,0.0,56.8,68.7,41.2
2024-06-02,26.8,0.0,57.4,66.9,45.0
2024-06-03,26.9,0.0,54.5,59.5,46.2
2024-06-04,26.9,0.0,55.2,70.7,39.9
2024-06-05,26.9,0.0,62.2,76.1,46.9
2024-06-06,26.9,0.0,64.2,78.3,50.5
2024-06-07,27.3,0.0,60.4,76.5,49.6
2024-06-08,27.3,0.0,64.4,79.3,49.3
2024-06-09,27.4,0.0,62.2,73.8,49.1
2024-06-10,27.4,0.0,58.6,72.1,44.6
2024-06-11,27.4,0.0,62.6,78.4,45.3
2024-06-12,27.4,0.0,64.6,79.0,48.4
2024-06-13,27.4,0.0,66.4,80.8,52.3
2024-06-14,27.4,0.0,61.9,75.7,45.7
2024-06-15,27.5,0.0,53.6,64.9,37.4
2024-06-16,27.5,0.0,52.2,64.8,37.0
2024-06-17,27.5,0.0,39.2,47.3,31.6
2024-06-18,27.5,0.0,43.7,58.1,27.5
2024-06-19,27.5,0.0,53.4,67.6,32.5
2024-06-20,27.5,0.0,60.4,75.2,41.4
2024-06-21,27.5,0.0,64.0,77.7,49.8
2024-06-22,27.5,0.0,65.3,83.1,46.9
2024-06-23,27.5,0.0,66.4,82.0,48.0
2024-06-24,27.5,0.0,64.0,79.2,47.3
2024-06-25,27.5,0.0,63.9,79.5,46.0
2024-06-26,27.5,0.0,67.6,77.5,52.0
2024-06-27,27.5,0.0,61.2,70.5,44.1
2024-06-28,27.5,0.0,59.2,73.8,41.2
2024-06-29,27.5,0.0,65.1,81.7,48.7
2024-06-30,27.6,0.0,60.3,74.3,45.1
2024-07-01,27.6,0.0,58.3,69.3,44.8
2024-07-02,27.6,0.0,58.3,73.2,43.7
2024-07-03,27.6,0.0,56.5,71.4,40.1
2024-07-04,27.6,0.0,61.9,77.2,45.1
2024-07-05,27.6,0.0,64.4,81.5,46.4
2024-07-06,27.6,0.0,66.4,84.7,47.1
2024-07-07,27.6,0.0,66.0,83.3,46.6
2024-07-08,27.6,0.0,69.1,85.1,51.8
2024-07-09,27.6,0.0,70.5,89.1,51.6
2024-07-10,27.6,0.0,71.4,92.1,52.5
2024-07-11,27.6,0.0,71.4,89.6,52.3
2024-07-12,27.6,0.0,70.7,90.7,53.2
2024-07-13,27.6,0.0,69.6,89.1,55.4
2024-07-14,27.6,0.0,66.0,83.1,50.0
