date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2023-10-01,0.0,0.0,46.8,62.2,35.1,0.0
2023-10-02,0.0,0.0,41.4,58.8,30.4,0.0
2023-10-03,0.4,1.0,31.8,41.7,28.4,0.3
2023-10-04,0.4,0.0,33.4,39.6,28.4,0.0
2023-10-05,0.4,0.0,37.8,49.8,29.3,0.0
2023-10-06,0.4,0.0,34.9,49.3,27.3,0.0
2023-10-07,0.4,0.0,40.1,60.1,26.2,0.0
2023-10-08,0.4,0.0,42.8,60.8,29.8,0.0
2023-10-09,0.4,0.0,41.4,59.2,28.4,0.0
2023-10-10,0.4,0.0,41.9,58.5,29.5,0.0
2023-10-11,0.7,1.0,36.1,53.4,28.2,0.1
2023-10-12,0.9,1.0,25.7,29.3,16.9,0.2
2023-10-13,0.9,1.0,22.3,31.6,16.2,0.2
2023-10-14,0.9,1.0,28.2,39.0,20.1,0.2
2023-10-15,0.9,1.0,33.4,48.0,21.9,0.1
2023-10-16,0.9,0.0,40.5,57.6,27.1,0.0
2023-10-17,0.9,0.0,44.4,59.2,29.5,0.0
2023-10-18,0.9,0.0,41.0,54.0,32.4,0.0
2023-10-19,0.9,0.0,43.2,59.5,32.2,0.0
2023-10-20,0.9,0.0,44.2,63.7,32.4,0.0
2023-10-21,0.9,0.0,44.4,60.8,31.3,0.0
2023-10-22,0.9,0.0,41.0,56.5,30.6,0.0
2023-10-23,0.9,0.0,39.6,55.6,27.5,0.0
2023-10-24,0.9,0.0,35.6,50.9,25.9,0.0
2023-10-25,0.9,0.0,37.0,53.2,26.8,0.0
2023-10-26,1.1,0.0,26.2,46.0,13.1,0.0
2023-10-27,1.1,0.0,26.6,37.8,12.6,0.0
2023-10-28,1.4,3.0,19.6,28.0,8.4,0.5
2023-10-29,1.4,3.0,7.3,20.8,-2.2,0.5
2023-10-30,1.5,2.0,11.7,28.2,-2.9,0.5
2023-10-31,1.5,3.0,20.3,36.7,5.5,0.6
2023-11-01,1.5,2.0,28.2,42.8,13.1,0.6
2023-11-02,1.5,2.0,31.5,39.0,19.4,0.6
2023-11-03,1.5,2.0,34.3,43.7,28.2,0.6
2023-11-04,1.5,2.0,34.5,47.5,26.6,0.6
2023-11-05,1.5,2.0,38.5,50.0,31.3,0.6
2023-11-06,1.5,2.0,38.1,46.4,31.8,0.6
2023-11-07,1.5,2.0,33.3,43.9,23.4,0.6
2023-11-08,1.6,2.0,20.8,31.6,14.7,0.6
2023-11-09,1.6,2.0,18.0,30.7,10.0,0.7
2023-11-10,1.6,2.0,21.7,35.6,10.0,0.8
2023-11-11,1.6,2.0,25.0,37.8,16.0,0.8
2023-11-12,1.6,2.0,29.1,44.1,21.4,0.8
2023-11-13,1.6,2.0,34.9,50.9,22.1,0.8
2023-11-14,1.6,2.0,33.8,44.8,24.8,0.8
2023-11-15,1.6,2.0,32.4,44.2,20.1,0.8
2023-11-16,2.0,3.0,30.9,36.3,25.2,1.0
2023-11-17,2.1,4.0,27.7,38.5,23.4,1.1
2023-11-18,2.2,6.0,29.3,38.7,22.6,1.2
2023-11-19,2.4,7.0,26.8,34.2,22.6,1.3
2023-11-20,2.5,5.0,21.4,27.9,12.9,1.4
2023-11-21,2.6,5.0,21.0,33.3,14.4,1.4
2023-11-22,2.6,5.0,24.8,40.3,13.3,1.4
2023-11-23,2.6,6.0,18.7,25.2,7.2,1.5
2023-11-24,2.7,7.0,11.7,22.3,1.6,1.6
2023-11-25,2.8,6.0,9.5,17.4,4.1,1.6
2023-11-26,2.8,6.0,9.9,18.7,4.6,1.6
2023-11-27,2.8,7.0,10.4,23.4,2.5,1.7
2023-11-28,2.8,7.0,16.2,33.4,2.7,1.7
2023-11-29,2.8,7.0,19.4,34.7,6.3,1.8
2023-11-30,2.8,6.0,19.4,30.0,13.5,1.8
2023-12-01,3.1,7.0,13.8,19.2,9.9,1.9
2023-12-02,3.6,12.0,12.6,16.0,10.6,2.4
2023-12-03,4.4,19.0,17.1,24.1,10.4,3.1
2023-12-04,4.5,17.0,25.0,29.7,23.2,3.2
2023-12-05,4.5,17.0,25.2,32.7,17.4,3.2
2023-12-06,4.5,16.0,30.0,41.9,22.6,3.2
2023-12-07,4.7,17.0,22.3,30.7,12.9,3.4
2023-12-08,4.8,17.0,12.9,21.4,5.7,3.4
2023-12-09,4.8,17.0,7.3,16.7,0.3,3.4
2023-12-10,5.1,17.0,16.0,21.9,0.3,3.8
2023-12-11,5.2,17.0,21.6,25.9,19.2,3.8
2023-12-12,5.2,17.0,20.3,31.3,12.6,3.8
2023-12-13,5.2,16.0,21.2,35.6,14.7,3.8
2023-12-14,5.2,15.0,21.0,35.1,13.6,3.8
2023-12-15,5.3,15.0,17.2,30.2,10.9,3.8
2023-12-16,5.3,15.0,23.0,37.8,11.7,3.8
2023-12-17,5.3,15.0,23.2,35.2,13.6,3.8
2023-12-18,5.3,15.0,23.2,39.6,10.9,3.9
2023-12-19,5.3,15.0,26.4,38.7,16.3,3.9
2023-12-20,5.3,15.0,27.3,38.3,19.2,3.9
2023-12-21,5.3,15.0,26.8,36.5,18.3,3.9
2023-12-22,5.3,15.0,23.7,36.1,17.1,3.9
2023-12-23,5.4,16.0,22.1,29.8,13.5,4.0
2023-12-24,5.5,16.0,7.5,14.5,0.1,4.0
2023-12-25,5.5,16.0,3.2,12.0,-1.3,4.0
2023-12-26,5.6,17.0,11.3,21.0,5.4,4.1
2023-12-27,5.6,17.0,13.5,29.5,3.7,4.1
2023-12-28,5.6,17.0,16.7,36.7,3.0,4.1
2023-12-29,5.6,17.0,19.0,36.1,5.5,4.2
2023-12-30,5.6,17.0,21.0,36.9,8.6,4.2
2023-12-31,5.6,17.0,22.3,37.4,12.6,4.2
2024-01-01,5.6,17.0,20.1,33.1,9.9,4.2
2024-01-02,5.6,17.0,17.2,31.6,8.1,4.2
2024-01-03,5.6,17.0,14.4,28.2,5.4,4.2
2024-01-04,5.7,18.0,17.2,25.7,4.1,4.3
2024-01-05,5.8,19.0,10.8,18.0,1.6,4.3
2024-01-06,5.8,19.0,3.9,12.0,-3.8,4.3
2024-01-07,6.0,21.0,8.1,17.2,-1.5,4.5
2024-01-08,6.0,21.0,4.1,15.4,-1.3,4.5
2024-01-09,6.2,23.0,5.9,12.0,-2.9,4.7
2024-01-10,6.7,27.0,6.4,11.1,4.6,5.1
2024-01-11,6.9,24.0,2.5,11.8,-2.9,5.2
2024-01-12,7.1,27.0,3.9,7.9,-0.4,5.6
2024-01-13,7.6,31.0,1.8,11.7,-4.5,6.0
2024-01-14,8.5,40.0,13.6,20.3,9.3,6.8
2024-01-15,8.6,40.0,-6.5,12.0,-24.2,6.8
2024-01-16,8.8,42.0,3.0,13.8,-16.4,7.1
2024-01-17,9.5,42.0,16.7,20.7,10.2,7.7
2024-01-18,9.9,43.0,18.9,21.4,16.0,8.1
2024-01-19,9.9,41.0,21.0,27.3,14.9,8.2
2024-01-20,9.9,39.0,25.0,34.5,19.4,8.2
2024-01-21,10.0,38.0,25.5,32.4,22.1,8.2
2024-01-22,10.0,37.0,23.2,30.0,13.5,8.2
2024-01-23,10.0,35.0,21.0,35.6,10.6,8.2
2024-01-24,10.0,35.0,21.2,33.1,13.5,8.2
2024-01-25,10.0,35.0,19.0,30.4,10.4,8.2
2024-01-26,10.1,34.0,18.3,28.8,10.0,8.3
2024-01-27,10.1,34.0,16.2,27.0,9.7,8.3
2024-01-28,10.1,34.0,26.8,35.2,17.2,8.3
2024-01-29,10.1,33.0,27.5,38.5,16.2,8.3
2024-01-30,10.1,31.0,24.4,46.0,12.4,8.3
2024-01-31,10.1,31.0,25.2,44.2,13.5,8.3
2024-02-01,10.1,31.0,25.3,39.9,17.4,8.4
2024-02-02,10.1,31.0,27.5,42.4,19.4,8.4
2024-02-03,10.5,33.0,21.2,25.5,14.5,8.6
2024-02-04,10.5,34.0,14.0,26.6,4.6,8.6
2024-02-05,10.5,34.0,22.5,36.1,4.5,8.6
2024-02-06,10.5,33.0,30.4,43.5,18.7,8.7
2024-02-07,10.8,35.0,23.4,33.4,19.0,8.8
2024-02-08,11.5,43.0,16.7,23.7,13.5,9.5
2024-02-09,11.5,42.0,11.1,25.0,1.9,9.5
2024-02-10,11.6,41.0,6.8,21.0,-0.8,9.5
2024-02-11,11.6,40.0,9.0,24.3,1.8,9.5
2024-02-12,11.6,39.0,14.9,28.0,2.5,9.6
2024-02-13,11.7,39.0,19.8,30.0,12.7,9.6
2024-02-14,12.0,44.0,19.2,26.2,16.7,9.9
2024-02-15,12.4,46.0,20.3,23.5,15.6,10.3
2024-02-16,13.2,52.0,13.1,20.7,2.7,11.0
2024-02-17,13.2,52.0,5.2,26.6,-10.7,11.0
2024-02-18,13.6,53.0,13.8,30.4,-2.7,11.4
2024-02-19,13.6,53.0,22.6,34.3,13.8,11.4
2024-02-20,14.0,55.0,27.7,35.8,24.6,11.8
2024-02-21,14.6,58.0,25.3,33.8,20.1,12.2
2024-02-22,14.8,59.0,19.9,32.5,14.9,12.5
2024-02-23,14.9,57.0,16.3,26.4,12.7,12.6
2024-02-24,14.9,55.0,20.7,33.1,10.6,12.6
2024-02-25,14.9,53.0,25.5,36.5,18.9,12.6
2024-02-26,15.0,53.0,26.8,36.5,19.4,12.7
2024-02-27,15.5,56.0,7.9,23.7,-2.0,13.1
2024-02-28,15.6,54.0,11.3,27.3,-4.4,13.2
2024-02-29,15.6,53.0,24.1,37.9,12.0,13.3
2024-03-01,15.6,51.0,28.4,41.0,21.6,13.3
2024-03-02,16.1,54.0,27.7,41.2,10.2,13.6
2024-03-03,16.5,57.0,9.1,18.3,3.6,14.0
2024-03-04,16.8,59.0,9.7,18.0,4.6,14.3
2024-03-05,16.9,56.0,16.0,28.2,5.0,14.4
2024-03-06,16.9,54.0,20.5,30.6,10.8,14.5
2024-03-07,17.2,55.0,20.7,36.1,11.1,14.7
2024-03-08,17.2,56.0,12.0,23.4,-1.3,14.7
2024-03-09,17.2,55.0,14.2,35.2,-5.1,14.8
2024-03-10,17.3,53.0,22.5,38.8,9.5,14.8
2024-03-11,17.4,53.0,27.1,43.7,13.8,14.8
2024-03-12,17.5,53.0,27.0,39.0,19.0,15.0
2024-03-13,18.6,65.0,24.4,30.9,18.3,16.1
