date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2020-10-01,0.0,0.0,61.9,78.3,48.4,0.0
2020-10-02,0.0,0.0,61.9,73.2,51.3,0.0
2020-10-03,0.0,0.0,60.6,70.9,51.4,0.0
2020-10-04,0.0,0.0,55.9,66.0,43.2,0.0
2020-10-05,0.0,0.0,59.4,73.2,41.7,0.0
2020-10-06,0.0,0.0,59.7,77.2,45.3,0.0
2020-10-07,0.0,0.0,57.6,68.4,48.0,0.0
2020-10-08,0.0,0.0,53.4,62.2,45.5,0.0
2020-10-09,0.0,0.0,53.4,64.0,45.7,0.0
2020-10-10,1.4,0.0,40.5,48.9,34.0,0.0
2020-10-11,2.0,0.0,40.1,46.2,35.2,0.0
2020-10-12,2.1,0.0,42.8,46.4,39.9,0.0
2020-10-13,2.9,0.0,44.1,49.5,38.7,0.0
2020-10-14,3.0,0.0,38.1,44.4,31.6,0.0
2020-10-15,3.0,0.0,40.1,52.5,28.0,0.0
2020-10-16,3.0,0.0,51.4,62.6,38.8,0.0
2020-10-17,3.0,0.0,47.7,54.0,43.5,0.0
2020-10-18,3.0,0.0,44.6,47.1,41.7,0.0
2020-10-19,3.0,0.0,45.0,52.9,41.4,0.0
2020-10-20,3.1,0.0,43.0,47.8,38.8,0.0
2020-10-21,3.1,0.0,34.7,39.9,26.6,0.0
2020-10-22,3.1,0.0,30.2,39.6,19.2,0.0
2020-10-23,3.1,0.0,37.8,46.2,25.7,0.0
2020-10-24,3.4,1.0,30.2,44.1,17.2,0.1
2020-10-25,3.4,1.0,16.5,23.0,11.8,0.1
2020-10-26,3.5,0.0,36.1,51.4,16.9,0.2
2020-10-27,3.5,0.0,46.2,62.1,29.5,0.0
2020-10-28,3.5,0.0,50.4,65.8,35.1,0.0
2020-10-29,3.5,0.0,53.4,64.9,43.5,0.0
2020-10-30,3.5,0.0,40.8,51.8,30.7,0.0
2020-10-31,3.5,0.0,37.9,47.7,27.5,0.0
2020-11-01,3.5,0.0,43.7,59.0,33.3,0.0
2020-11-02,3.5,0.0,54.1,66.6,34.5,0.0
2020-11-03,3.5,0.0,49.3,55.8,43.2,0.0
2020-11-04,3.5,0.0,49.1,55.4,44.2,0.0
2020-11-05,4.8,0.0,44.4,48.0,37.4,0.0
2020-11-06,5.1,1.0,30.9,37.4,29.3,0.1
2020-11-07,5.4,2.0,27.0,29.8,22.5,0.4
2020-11-08,5.4,1.0,21.7,26.8,15.1,0.4
2020-11-09,5.5,2.0,23.2,34.3,10.8,0.5
2020-11-10,6.4,10.0,28.2,29.3,25.7,1.8
2020-11-11,6.4,9.0,25.2,30.9,12.7,1.8
2020-11-12,6.7,9.0,26.4,32.5,11.7,2.0
2020-11-13,8.7,21.0,29.7,32.5,26.6,4.6
2020-11-14,10.6,28.0,29.5,32.0,25.7,6.8
2020-11-15,11.5,25.0,34.0,36.7,31.5,7.1
2020-11-16,11.7,21.0,43.5,53.6,34.0,6.4
2020-11-17,12.4,19.0,40.6,52.2,31.6,6.5
2020-11-18,13.1,25.0,31.3,36.0,28.4,7.1
2020-11-19,13.6,26.0,27.5,31.5,17.2,7.6
2020-11-20,13.6,24.0,24.8,36.3,14.5,7.6
2020-11-21,13.7,25.0,31.8,39.9,19.0,7.6
2020-11-22,13.7,24.0,31.3,45.7,16.5,7.6
2020-11-23,13.9,23.0,29.7,32.0,27.9,7.8
2020-11-24,14.0,25.0,32.0,39.9,24.4,8.1
2020-11-25,14.4,29.0,27.7,29.3,25.5,8.5
2020-11-26,14.4,27.0,27.9,32.2,19.9,8.4
2020-11-27,14.4,26.0,35.1,51.6,22.1,8.5
2020-11-28,14.4,26.0,34.7,44.1,27.9,8.4
2020-11-29,14.5,25.0,34.7,41.0,26.8,8.4
2020-11-30,15.0,28.0,30.2,40.8,23.5,8.8
2020-12-01,15.0,27.0,26.2,31.5,16.5,8.8
2020-12-02,15.0,27.0,28.4,34.2,21.6,8.6
2020-12-03,15.0,26.0,33.3,47.3,22.5,8.5
2020-12-04,15.0,26.0,35.1,43.5,26.6,8.3
2020-12-05,15.0,26.0,31.6,37.8,23.4,8.2
2020-12-06,15.2,27.0,32.4,36.1,30.0,8.6
2020-12-07,15.2,26.0,42.1,55.4,25.3,8.6
2020-12-08,15.2,25.0,49.6,59.4,39.6,8.4
2020-12-09,15.3,24.0,32.4,39.9,18.3,8.6
2020-12-10,15.6,25.0,25.7,38.7,14.0,8.4
2020-12-11,16.1,31.0,26.2,28.2,25.2,8.6
2020-12-12,16.1,30.0,23.9,26.2,22.3,8.6
2020-12-13,16.9,30.0,30.4,33.8,25.0,9.5
2020-12-14,17.1,32.0,28.2,31.3,27.0,9.9
2020-12-15,17.5,31.0,32.0,35.2,27.7,10.2
2020-12-16,18.2,30.0,34.2,43.5,30.9,10.8
2020-12-17,18.5,31.0,28.8,30.9,26.4,10.8
2020-12-18,18.7,32.0,31.6,36.3,27.5,11.0
2020-12-19,19.1,29.0,34.9,39.9,32.2,10.3
2020-12-20,21.0,22.0,40.8,42.3,39.2,9.6
2020-12-21,21.8,22.0,37.9,42.3,24.6,8.5
2020-12-22,21.9,20.0,23.4,27.1,13.5,8.1
2020-12-23,22.0,20.0,25.2,29.8,20.1,7.8
2020-12-24,22.0,20.0,27.0,39.0,11.8,7.0
2020-12-25,22.8,25.0,30.4,34.5,25.7,7.0
2020-12-26,23.3,28.0,29.3,32.5,25.5,7.4
2020-12-27,23.3,28.0,25.5,31.6,16.5,7.6
2020-12-28,23.3,27.0,23.9,31.8,15.3,7.5
2020-12-29,23.3,28.0,31.8,37.9,21.6,7.6
2020-12-30,23.8,33.0,30.2,34.5,28.4,9.0
2020-12-31,24.3,34.0,31.3,34.0,29.5,9.3
2021-01-01,24.5,36.0,35.1,42.3,29.7,9.4
2021-01-02,25.3,40.0,31.5,32.0,30.2,11.2
2021-01-03,26.0,37.0,34.2,38.1,31.3,12.2
2021-01-04,26.6,39.0,33.1,41.9,26.4,13.0
2021-01-05,26.8,38.0,30.9,42.3,21.7,13.0
2021-01-06,27.1,41.0,33.3,41.4,30.6,13.6
2021-01-07,27.4,39.0,30.6,34.3,25.5,13.8
2021-01-08,27.7,41.0,28.0,31.6,16.5,14.3
2021-01-09,27.8,40.0,26.2,29.8,17.6,14.4
2021-01-10,27.8,40.0,35.1,45.3,26.6,14.4
2021-01-11,28.0,39.0,37.2,45.5,31.8,14.6
2021-01-12,30.5,31.0,42.1,46.0,37.8,13.3
2021-01-13,31.1,29.0,32.5,45.7,27.1,12.5
2021-01-14,31.1,29.0,39.2,57.0,25.2,12.3
2021-01-15,31.2,27.0,38.1,44.8,29.3,12.2
2021-01-16,31.2,28.0,39.6,48.6,26.8,11.8
2021-01-17,31.2,27.0,36.3,43.0,26.6,12.0
2021-01-18,31.2,27.0,30.0,38.7,20.8,11.8
2021-01-19,31.2,27.0,27.9,34.2,22.5,11.9
2021-01-20,31.2,27.0,36.7,45.9,26.4,11.0
2021-01-21,31.3,27.0,32.5,38.7,27.1,10.2
2021-01-22,31.3,27.0,23.0,27.1,20.3,10.4
2021-01-23,31.3,28.0,24.1,34.3,12.4,9.8
2021-01-24,31.6,31.0,23.9,27.3,21.9,9.5
2021-01-25,31.6,31.0,20.7,24.3,16.7,9.8
2021-01-26,32.2,36.0,19.6,23.2,12.4,10.4
2021-01-27,32.4,39.0,27.3,32.2,23.0,10.7
