date,PREC_DAILY,SNWD_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
2020-10-01,0.0,0.0,66.0,74.8,61.2,0.0
2020-10-02,0.1,0.0,65.3,78.6,60.1,0.0
2020-10-03,0.1,0.0,59.5,70.2,53.2,0.0
2020-10-04,0.1,0.0,51.6,57.0,48.6,0.0
2020-10-05,0.1,0.0,53.2,62.2,44.2,0.0
2020-10-06,0.1,0.0,59.5,70.0,54.3,0.0
2020-10-07,0.1,0.0,59.2,70.3,54.3,0.0
2020-10-08,0.3,0.0,53.8,55.9,49.8,0.0
2020-10-09,0.4,0.0,52.5,59.0,46.2,0.0
2020-10-10,1.8,0.0,43.9,50.7,40.5,0.0
2020-10-11,3.7,0.0,43.7,50.7,39.6,0.0
2020-10-12,3.9,0.0,42.3,46.8,39.6,0.0
2020-10-13,5.9,0.0,42.4,48.6,37.9,0.0
2020-10-14,6.6,0.0,41.2,44.1,38.1,0.0
2020-10-15,6.6,0.0,42.3,46.6,36.7,0.0
2020-10-16,7.3,0.0,48.2,51.4,42.6,0.0
2020-10-17,7.6,0.0,43.5,49.1,40.6,0.0
2020-10-18,8.9,0.0,47.7,52.0,40.5,0.0
2020-10-19,9.7,0.0,43.5,46.2,39.9,0.0
2020-10-20,9.8,0.0,40.5,43.9,37.9,0.0
2020-10-21,10.8,0.0,34.3,39.2,31.8,0.0
2020-10-22,10.8,0.0,33.8,40.1,30.2,0.0
2020-10-23,11.9,0.0,35.8,45.3,30.6,0.0
2020-10-24,12.1,0.0,31.6,35.2,28.0,0.0
2020-10-25,12.1,0.0,28.4,32.4,25.3,0.0
2020-10-26,12.1,0.0,34.5,40.5,27.7,0.0
2020-10-27,12.1,0.0,39.9,47.7,33.8,0.0
2020-10-28,12.1,0.0,45.9,54.1,39.9,0.0
2020-10-29,12.1,0.0,44.6,48.9,41.9,0.0
2020-10-30,12.4,0.0,41.2,47.7,34.7,0.0
2020-10-31,12.4,0.0,40.6,48.9,32.4,0.0
2020-11-01,12.4,0.0,46.0,53.8,41.2,0.0
