date,PREC_DAILY,SNWD_DAILY,TMIN_DAILY,WTEQ_DAILY
2020-10-01,0.0,0.0,25.5,0.0
2020-10-02,0.0,0.0,30.0,0.0
2020-10-03,0.0,0.0,27.5,0.0
2020-10-04,0.0,0.0,29.1,0.0
2020-10-05,0.0,0.0,27.9,0.0
2020-10-06,0.0,0.0,29.8,0.0
2020-10-07,0.0,0.0,27.0,0.0
2020-10-08,0.0,0.0,28.6,0.0
2020-10-09,0.0,0.0,25.5,0.0
2020-10-10,0.2,0.0,24.8,0.0
2020-10-11,0.2,0.0,29.3,0.0
2020-10-12,0.2,0.0,31.3,0.0
2020-10-13,0.5,0.0,29.1,0.0
2020-10-14,0.5,0.0,27.9,0.0
2020-10-15,0.5,0.0,18.7,0.0
2020-10-16,0.9,0.0,17.6,0.0
2020-10-17,0.9,0.0,32.0,0.0
2020-10-18,1.1,2.0,32.4,0.2
2020-10-19,1.2,0.0,36.9,0.0
2020-10-20,1.2,0.0,33.3,0.0
2020-10-21,1.4,3.0,26.6,0.4
2020-10-22,1.4,1.0,7.0,0.1
2020-10-23,1.7,2.0,0.1,0.4
2020-10-24,1.7,1.0,4.3,0.4
2020-10-25,1.7,1.0,-13.5,0.2
2020-10-26,2.3,2.0,-21.3,0.6
2020-10-27,2.3,2.0,16.3,0.6
2020-10-28,2.4,2.0,12.9,0.7
2020-10-29,2.4,2.0,18.5,0.7
2020-10-30,2.4,3.0,17.1,0.8
2020-10-31,2.4,2.0,21.2,0.6
2020-11-01,2.4,2.0,18.3,0.7
2020-11-02,2.4,2.0,19.9,0.7
2020-11-03,2.4,3.0,21.6,0.7
2020-11-04,2.4,2.0,26.4,0.7
2020-11-05,2.4,2.0,26.4,0.7
2020-11-06,2.4,2.0,30.0,0.7
2020-11-07,3.0,6.0,32.4,1.5
2020-11-08,3.0,5.0,17.4,1.4
2020-11-09,3.0,3.0,6.1,1.3
2020-11-10,3.0,4.0,14.0,1.4
2020-11-11,3.0,2.0,11.1,1.4
2020-11-12,3.0,2.0,0.3,1.4
2020-11-13,3.2,7.0,3.0,1.7
2020-11-14,3.2,6.0,14.5,1.7
2020-11-15,3.3,9.0,19.0,1.9
2020-11-16,3.3,9.0,25.7,2.0
2020-11-17,3.3,9.0,21.7,2.0
2020-11-18,3.4,10.0,32.0,2.2
2020-11-19,3.6,8.0,16.2,2.3
2020-11-20,3.6,4.0,-4.4,2.2
2020-11-21,3.6,4.0,-5.4,2.2
2020-11-22,3.6,4.0,-7.1,2.2
2020-11-23,3.8,8.0,-6.5,2.3
2020-11-24,4.0,8.0,,2.4
2020-11-25,4.0,10.0,16.2,2.6
2020-11-26,4.0,9.0,1.8,2.6
2020-11-27,4.0,6.0,1.2,2.5
2020-11-28,4.0,6.0,0.7,2.5
2020-11-29,4.0,6.0,-3.1,2.4
2020-11-30,4.1,10.0,-9.4,2.6
2020-12-01,4.1,8.0,5.0,2.6
2020-12-02,4.1,6.0,-9.8,2.5
2020-12-03,4.1,7.0,-6.2,2.6
2020-12-04,4.1,8.0,-3.3,2.6
2020-12-05,4.1,8.0,-1.1,2.6
2020-12-06,4.1,7.0,-2.6,2.6
2020-12-07,4.1,9.0,-5.6,2.6
2020-12-08,4.2,10.0,7.2,2.7
2020-12-09,4.2,10.0,5.7,2.7
2020-12-10,4.2,10.0,4.8,2.6
2020-12-11,4.2,10.0,3.2,2.7
2020-12-12,4.2,10.0,-9.6,2.6
2020-12-13,4.4,12.0,-10.5,2.9
2020-12-14,4.4,13.0,10.4,3.0
2020-12-15,4.5,15.0,10.2,3.1
2020-12-16,4.5,17.0,18.7,3.2
2020-12-17,4.6,18.0,22.6,3.5
2020-12-18,4.6,17.0,16.9,3.5
2020-12-19,4.7,17.0,21.0,3.6
2020-12-20,4.8,19.0,24.3,3.8
2020-12-21,5.0,20.0,29.7,4.1
2020-12-22,5.0,18.0,6.8,4.0
2020-12-23,5.0,16.0,1.0,3.9
2020-12-24,5.0,17.0,-1.1,3.9
2020-12-25,5.2,17.0,-6.0,4.0
2020-12-26,5.3,19.0,21.0,4.3
2020-12-27,5.3,17.0,6.8,4.3
2020-12-28,5.3,17.0,-11.7,4.1
2020-12-29,5.3,17.0,-17.0,4.1
2020-12-30,5.6,20.0,-8.1,4.4
2020-12-31,5.6,19.0,16.5,4.4
2021-01-01,5.6,19.0,5.9,4.4
2021-01-02,5.8,22.0,7.2,4.7
2021-01-03,5.8,23.0,11.3,4.8
2021-01-04,6.1,27.0,13.6,5.1
2021-01-05,6.5,27.0,14.9,5.4
2021-01-06,6.5,25.0,11.8,5.4
2021-01-07,6.6,26.0,14.4,5.6
2021-01-08,6.6,21.0,-3.5,5.4
2021-01-09,6.6,21.0,-8.3,5.3
2021-01-10,6.6,20.0,-4.7,5.3
2021-01-11,6.6,20.0,-9.0,5.4
2021-01-12,6.9,26.0,-0.4,5.8
2021-01-13,6.9,26.0,16.2,6.0
2021-01-14,6.9,22.0,-3.6,6.0
2021-01-15,7.2,26.0,-9.4,6.1
2021-01-16,7.2,26.0,20.3,6.1
2021-01-17,7.4,29.0,19.6,6.3
2021-01-18,7.4,27.0,4.6,6.3
2021-01-19,7.4,25.0,-8.3,6.3
2021-01-20,7.5,26.0,-1.1,6.4
2021-01-21,7.6,29.0,13.5,6.5
2021-01-22,7.6,27.0,13.3,6.5
2021-01-23,7.6,26.0,-8.7,6.4
2021-01-24,7.6,24.0,-13.4,6.4
2021-01-25,7.6,22.0,-1.8,6.4
2021-01-26,7.6,24.0,-15.7,6.4
2021-01-27,7.8,26.0,-2.2,6.6
2021-01-28,8.1,29.0,14.7,7.0
2021-01-29,8.3,30.0,27.0,7.2
2021-01-30,8.3,30.0,21.0,7.3
2021-01-31,8.3,30.0,0.3,7.2
2021-02-01,8.4,34.0,-5.4,7.3
2021-02-02,8.5,33.0,17.6,7.4
2021-02-03,8.7,36.0,15.1,7.8
2021-02-04,8.8,35.0,12.6,7.9
2021-02-05,9.1,38.0,16.2,8.2
2021-02-06,9.4,42.0,19.4,8.5
2021-02-07,9.4,40.0,3.4,8.6
2021-02-08,9.6,39.0,2.3,8.7
2021-02-09,9.6,38.0,8.4,8.8
2021-02-10,9.6,37.0,-1.3,8.8
2021-02-11,9.6,35.0,-7.6,8.7
2021-02-12,9.8,37.0,-8.3,8.9
2021-02-13,9.8,36.0,-8.1,9.0
2021-02-14,10.0,38.0,-18.8,9.1
2021-02-15,10.3,42.0,4.8,9.5
2021-02-16,10.5,44.0,16.3,9.7
2021-02-17,10.5,41.0,5.9,9.7
2021-02-18,10.6,41.0,0.5,9.8
2021-02-19,10.9,44.0,12.0,10.1
2021-02-20,10.9,43.0,3.4,10.0
2021-02-21,11.0,44.0,1.8,10.2
2021-02-22,11.2,45.0,21.2,10.4
2021-02-23,11.2,44.0,-6.3,10.4
2021-02-24,11.2,36.0,-13.7,10.4
2021-02-25,11.3,41.0,-21.5,10.5
2021-02-26,11.6,45.0,11.8,10.8
