date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY,WTEQ_DAILY
1998-10-01,0.5,36.1,45.9,30.6,0.0
1998-10-02,0.6,32.9,44.4,27.3,0.0
1998-10-03,0.8,37.0,49.3,26.6,0.0
1998-10-04,1.3,25.2,31.8,19.2,0.2
1998-10-05,1.4,20.7,26.2,12.7,0.2
1998-10-06,1.4,23.7,41.0,9.5,0.1
1998-10-07,1.5,34.7,57.4,19.4,0.0
1998-10-08,1.5,38.1,60.1,25.0,0.0
1998-10-09,1.5,38.3,57.9,26.2,0.0
1998-10-10,1.5,39.9,57.0,26.2,0.0
1998-10-11,1.5,35.6,55.0,23.2,0.0
1998-10-12,1.5,38.1,58.5,25.9,0.0
1998-10-13,1.6,41.4,57.9,24.6,0.0
1998-10-14,1.6,41.0,56.7,32.0,0.0
1998-10-15,1.6,38.5,51.1,26.2,0.0
1998-10-16,1.6,28.8,42.4,23.7,0.0
1998-10-17,1.7,24.6,29.8,20.8,0.0
1998-10-18,1.7,26.4,46.8,11.3,0.0
1998-10-19,1.7,30.7,51.1,18.3,0.0
1998-10-20,1.7,30.2,48.6,21.4,0.0
1998-10-21,1.7,33.1,52.7,19.4,0.0
1998-10-22,1.7,34.0,48.4,25.3,0.0
1998-10-23,1.7,32.0,46.2,23.0,0.0
1998-10-24,1.7,30.0,48.2,20.3,0.0
1998-10-25,1.8,34.0,49.6,24.3,0.0
1998-10-26,1.8,34.0,44.1,27.5,0.0
1998-10-27,2.1,33.8,50.0,26.2,0.1
1998-10-28,2.6,27.0,30.2,24.3,0.5
1998-10-29,2.6,29.3,41.7,22.6,0.5
1998-10-30,2.6,30.6,43.0,22.3,0.4
1998-10-31,2.6,29.5,38.5,22.5,0.3
1998-11-01,2.6,32.2,49.8,21.7,0.3
1998-11-02,3.0,27.7,33.8,21.9,0.8
1998-11-03,3.2,21.2,30.7,13.5,1.0
1998-11-04,3.2,14.2,29.5,5.0,1.0
1998-11-05,3.2,17.8,35.2,6.1,1.0
1998-11-06,3.3,19.0,30.6,9.7,1.0
1998-11-07,3.4,15.4,28.8,5.9,1.2
1998-11-08,3.8,21.9,32.0,12.9,1.5
1998-11-09,3.8,12.2,17.8,5.5,1.8
1998-11-10,3.8,5.2,15.3,-2.2,1.8
1998-11-11,4.2,15.4,30.7,0.1,1.8
1998-11-12,4.2,20.3,37.8,10.4,1.8
1998-11-13,4.2,22.5,42.1,10.6,1.5
1998-11-14,4.2,25.7,44.6,17.2,1.4
1998-11-15,4.3,31.8,48.4,17.8,1.4
1998-11-16,4.3,27.0,45.3,18.3,1.4
1998-11-17,4.3,31.6,47.8,20.7,1.4
1998-11-18,4.3,17.2,28.0,9.0,1.4
1998-11-19,4.3,11.8,23.4,1.0,1.4
1998-11-20,4.3,11.1,33.4,-2.7,1.4
1998-11-21,4.5,26.6,45.0,7.9,2.5
1998-11-22,4.5,31.6,47.8,19.8,2.5
1998-11-23,4.5,31.5,44.4,20.5,2.5
1998-11-24,4.5,32.0,43.0,19.2,2.5
1998-11-25,4.5,23.9,41.4,13.8,2.5
1998-11-26,4.5,29.5,53.6,17.2,2.5
1998-11-27,4.5,32.0,53.8,23.0,2.5
1998-11-28,4.5,33.8,46.2,24.4,2.5
1998-11-29,4.5,28.8,39.6,22.5,2.5
1998-11-30,4.5,26.2,45.5,17.2,2.5
1998-12-01,4.5,,,,2.5
1998-12-02,4.5,28.8,47.7,16.5,2.5
1998-12-03,4.5,26.6,49.6,15.3,2.5
1998-12-04,4.5,30.9,44.1,20.1,2.4
