date,PREC_DAILY,SNWD_DAILY,TMIN_DAILY,WTEQ_DAILY
2021-10-01,0.0,0.0,,0.0
2021-10-02,0.0,0.0,,0.0
2021-10-03,0.0,0.0,,0.0
2021-10-04,0.1,0.0,,0.0
2021-10-05,0.2,0.0,,0.0
2021-10-06,0.2,0.0,,0.0
2021-10-07,0.3,0.0,,0.0
2021-10-08,0.3,0.0,,0.0
2021-10-09,0.3,0.0,,0.0
2021-10-10,0.3,0.0,,0.0
2021-10-11,0.7,3.0,,0.4
2021-10-12,0.8,3.0,,0.4
2021-10-13,0.8,4.0,,0.5
2021-10-14,0.9,3.0,,0.4
2021-10-15,1.1,3.0,,0.5
2021-10-16,1.1,2.0,,0.4
2021-10-17,1.1,2.0,,0.4
2021-10-18,1.1,1.0,,0.4
2021-10-19,1.1,1.0,,0.3
2021-10-20,1.2,1.0,,0.1
2021-10-21,1.2,0.0,,0.0
2021-10-22,1.3,0.0,,0.0
2021-10-23,1.3,0.0,,0.0
2021-10-24,1.3,0.0,,0.0
2021-10-25,1.6,1.0,34.3,0.2
2021-10-26,1.7,1.0,26.8,0.2
2021-10-27,1.7,1.0,22.6,0.2
2021-10-28,2.0,1.0,22.5,0.2
2021-10-29,2.0,0.0,36.0,0.0
2021-10-30,2.0,0.0,27.3,0.0
2021-10-31,2.0,0.0,24.1,0.0
2021-11-01,2.0,0.0,24.6,0.0
2021-11-02,2.0,0.0,32.9,0.0
2021-11-03,2.0,0.0,31.5,0.0
2021-11-04,2.1,0.0,29.8,0.0
2021-11-05,2.1,0.0,30.0,0.0
2021-11-06,2.2,1.0,28.9,0.2
2021-11-07,2.4,2.0,24.1,0.4
2021-11-08,2.5,2.0,17.1,0.4
2021-11-09,2.7,2.0,18.3,0.5
2021-11-10,2.7,2.0,12.0,0.5
2021-11-11,3.0,3.0,4.6,0.6
2021-11-12,3.1,4.0,25.5,0.8
2021-11-13,3.2,3.0,33.6,0.7
2021-11-14,3.2,2.0,34.9,0.7
2021-11-15,3.3,2.0,34.2,0.7
2021-11-16,3.3,1.0,13.3,0.6
2021-11-17,3.3,1.0,3.2,0.3
2021-11-18,3.5,2.0,3.2,0.5
2021-11-19,3.6,3.0,27.9,0.7
2021-11-20,3.6,3.0,12.9,0.7
2021-11-21,3.6,4.0,13.3,0.7
2021-11-22,3.6,4.0,9.0,0.6
2021-11-23,3.7,5.0,4.5,0.9
2021-11-24,3.7,6.0,16.2,1.0
2021-11-25,3.7,6.0,15.8,0.9
2021-11-26,3.8,6.0,14.9,1.0
2021-11-27,3.8,6.0,14.9,1.0
2021-11-28,3.8,5.0,27.1,1.0
2021-11-29,3.8,4.0,23.9,1.0
2021-11-30,3.8,5.0,23.7,1.0
2021-12-01,3.9,5.0,28.4,1.1
2021-12-02,3.9,4.0,36.9,1.1
2021-12-03,3.9,2.0,29.1,1.1
2021-12-04,3.9,3.0,29.1,1.1
2021-12-05,3.9,3.0,3.6,1.1
2021-12-06,4.0,5.0,2.8,1.1
2021-12-07,4.0,4.0,25.0,1.1
2021-12-08,4.1,5.0,24.4,1.2
2021-12-09,4.1,6.0,13.3,1.2
2021-12-10,4.1,5.0,0.7,1.2
2021-12-11,4.2,6.0,13.1,1.3
2021-12-12,4.3,6.0,20.3,1.4
2021-12-13,4.4,8.0,26.6,1.6
2021-12-14,4.7,13.0,24.8,2.0
2021-12-15,4.7,13.0,10.0,2.1
2021-12-16,5.0,14.0,12.2,2.4
2021-12-17,5.0,12.0,-10.7,2.2
2021-12-18,5.3,14.0,-7.1,2.5
2021-12-19,5.6,15.0,3.7,2.6
2021-12-20,5.6,14.0,23.7,2.7
2021-12-21,5.6,13.0,21.6,2.7
2021-12-22,5.6,14.0,16.5,2.8
2021-12-23,5.7,15.0,26.6,3.0
2021-12-24,5.8,17.0,18.7,3.2
2021-12-25,6.0,19.0,16.0,3.5
2021-12-26,6.3,21.0,8.8,3.7
2021-12-27,6.4,21.0,-0.9,3.8
2021-12-28,6.5,21.0,-1.7,3.9
2021-12-29,6.8,22.0,2.1,4.2
2021-12-30,7.1,24.0,5.4,4.5
2021-12-31,7.1,23.0,-13.9,4.4
2022-01-01,7.3,22.0,-27.2,4.4
2022-01-02,7.5,21.0,-5.1,4.6
2022-01-03,7.6,21.0,1.8,4.7
2022-01-04,7.7,24.0,3.4,4.8
2022-01-05,7.9,30.0,9.3,5.2
2022-01-06,8.6,32.0,9.5,5.9
2022-01-07,8.8,32.0,25.9,6.2
2022-01-08,8.8,30.0,10.2,6.1
2022-01-09,8.8,29.0,-4.2,5.9
2022-01-10,8.8,28.0,-10.8,6.0
2022-01-11,9.0,28.0,-8.5,6.2
2022-01-12,9.0,27.0,15.3,6.2
2022-01-13,9.0,27.0,3.7,6.1
2022-01-14,9.0,26.0,4.5,6.1
2022-01-15,9.0,26.0,-3.5,6.1
2022-01-16,9.0,26.0,2.1,6.1
2022-01-17,9.0,26.0,0.7,6.2
2022-01-18,9.1,24.0,16.2,6.2
2022-01-19,9.1,24.0,15.8,6.2
2022-01-20,9.1,25.0,12.0,6.4
2022-01-21,9.1,25.0,7.7,6.3
2022-01-22,9.1,24.0,5.2,6.3
2022-01-23,9.1,24.0,-2.0,6.3
2022-01-24,9.1,24.0,-8.1,6.3
2022-01-25,9.1,25.0,-2.6,6.2
2022-01-26,9.1,24.0,-6.7,6.3
2022-01-27,9.1,23.0,-6.5,6.1
2022-01-28,9.1,24.0,-15.7,6.3
2022-01-29,9.1,25.0,-8.7,6.3
2022-01-30,9.2,26.0,-4.9,6.3
2022-01-31,9.2,23.0,1.2,6.3
2022-02-01,9.2,24.0,-7.1,6.4
2022-02-02,9.2,24.0,-11.7,6.4
2022-02-03,9.2,24.0,-9.2,6.4
2022-02-04,9.3,25.0,4.8,6.5
2022-02-05,9.3,26.0,16.0,6.6
2022-02-06,9.3,26.0,1.4,6.5
2022-02-07,9.4,25.0,-9.4,6.6
2022-02-08,9.5,25.0,3.2,6.7
2022-02-09,9.6,26.0,22.3,6.7
2022-02-10,9.6,26.0,21.7,6.6
2022-02-11,9.6,26.0,-0.8,6.6
2022-02-12,9.6,25.0,-3.3,6.6
2022-02-13,9.6,26.0,-4.5,6.6
2022-02-14,9.6,27.0,3.9,6.7
2022-02-15,9.6,26.0,14.0,6.8
2022-02-16,9.6,26.0,1.6,6.8
2022-02-17,9.6,27.0,5.9,6.9
2022-02-18,9.6,29.0,19.4,7.0
2022-02-19,9.7,28.0,24.8,7.0
2022-02-20,9.7,28.0,20.5,7.0
2022-02-21,9.7,28.0,-11.0,7.0
2022-02-22,9.7,29.0,-25.4,7.0
2022-02-23,9.7,30.0,-31.9,7.0
2022-02-24,9.7,30.0,-21.3,7.0
2022-02-25,9.8,30.0,-26.7,7.0
2022-02-26,9.8,30.0,-5.3,7.0
2022-02-27,10.0,28.0,-15.2,7.1
2022-02-28,10.2,29.0,13.8,7.2
2022-03-01,10.2,30.0,29.8,7.1
2022-03-02,10.2,29.0,29.5,7.2
2022-03-03,10.2,29.0,25.5,7.2
2022-03-04,10.3,28.0,19.2,7.2
2022-03-05,10.3,29.0,6.4,7.2
2022-03-06,10.3,29.0,-7.6,7.2
2022-03-07,10.3,28.0,-19.3,7.2
2022-03-08,10.4,31.0,-6.3,7.4
2022-03-09,10.4,30.0,-24.0,7.4
2022-03-10,10.4,30.0,-34.2,7.4
2022-03-11,10.4,30.0,0.1,7.4
2022-03-12,10.4,28.0,20.3,7.4
2022-03-13,10.5,29.0,25.3,7.5
2022-03-14,10.5,30.0,21.6,7.6
2022-03-15,10.6,31.0,24.4,7.7
2022-03-16,10.6,31.0,5.4,7.7
2022-03-17,10.6,32.0,1.8,7.7
2022-03-18,10.6,31.0,17.4,7.7
2022-03-19,10.6,32.0,18.3,7.8
2022-03-20,10.6,35.0,4.6,7.9
2022-03-21,10.7,34.0,-9.2,8.0
2022-03-22,10.7,32.0,16.2,8.0
2022-03-23,10.8,32.0,14.2,8.0
2022-03-24,10.8,32.0,28.9,8.0
2022-03-25,10.8,32.0,23.7,8.0
2022-03-26,10.8,30.0,27.9,8.0
2022-03-27,10.8,30.0,24.1,7.9
2022-03-28,10.8,29.0,31.8,7.9
2022-03-29,10.8,28.0,20.3,8.0
2022-03-30,10.8,29.0,11.8,7.9
2022-03-31,10.8,29.0,16.3,8.0
2022-04-01,10.8,28.0,5.0,8.0
2022-04-02,10.8,29.0,15.3,8.0
2022-04-03,10.9,28.0,10.4,8.0
2022-04-04,11.1,32.0,19.2,8.3
2022-04-05,11.1,32.0,16.0,8.3
2022-04-06,11.2,31.0,8.6,8.4
2022-04-07,11.4,31.0,2.3,8.5
2022-04-08,11.4,29.0,18.9,8.4
2022-04-09,11.4,29.0,21.6,8.4
2022-04-10,11.4,30.0,13.3,8.4
2022-04-11,11.7,33.0,11.5,8.7
2022-04-12,11.8,35.0,2.5,8.8
2022-04-13,11.8,34.0,-11.0,9.0
2022-04-14,12.2,39.0,4.6,9.5
2022-04-15,12.3,38.0,14.7,9.6
2022-04-16,12.7,39.0,15.1,9.9
2022-04-17,12.8,37.0,16.9,9.9
2022-04-18,12.9,37.0,15.1,10.0
2022-04-19,13.2,36.0,23.4,10.3
2022-04-20,13.3,39.0,23.0,10.4
2022-04-21,13.4,39.0,23.5,10.4
2022-04-22,13.4,38.0,27.9,10.4
2022-04-23,13.4,37.0,27.3,10.4
2022-04-24,13.4,37.0,21.0,10.4
2022-04-25,13.5,36.0,21.2,10.2
2022-04-26,13.5,35.0,21.9,10.1
2022-04-27,13.8,35.0,24.8,10.4
2022-04-28,14.1,36.0,30.2,10.6
2022-04-29,14.1,36.0,20.3,10.6
2022-04-30,14.2,34.0,15.1,10.6
2022-05-01,14.3,35.0,33.1,10.8
2022-05-02,14.3,34.0,32.4,10.8
2022-05-03,14.5,36.0,29.5,10.9
2022-05-04,14.5,34.0,30.6,10.6
